report_id,field,old,new,reason
mucci2021,notes,"208/618 at 4y; stated 35.4% implies denominator 588 not 618, INCONSISTENT","208 at 4y, denominator NOT recoverable; 35.4% is incompatible with the 618 analysed; conflict_status = unresolved","PARTLY CONFIRMED, PARTLY REFUTED. Confirmed: 208 is the printed 4-year count and 35.4% is incompatible with 618 (208/618 = 33.7%). Refuted: '208/618' is not a result the report supports, so the manifest must not carry it as one. The report never states the denominator for working status; 588 is only implied by the arithmetic (170/588 = 28.9%, 208/588 = 35.4%) and reconstructing it is exactly the back-calculation the codebook forbids. Other variables in the same sentence imply bases of 612 and 618, consistent with unstated item-level missingness. Recorded as conflict_status = unresolved with the candidate resolution named but not applied (prompt rule 14); n_outcome_observed left blank."
mucci2021,report_quantifiable,,no,"The numerator is printed but no denominator is recoverable without back-calculating from a percentage, so the report is eligible evidence the review cannot use (D10.2)."
nakamura2025,notes,"very small n=21; only 4 of 9 reached formal employment, 5 in welfare Type B work","CONFIRMED n=21; 4/21 formal employment under a labour contract is the only paid-work count; 5/21 Type B is NOT paid work; ascertainment is attainment over 12 months, not point prevalence; cohort is employment-selected (authors state self-selection on vocational goals)","CONFIRMED in every particular, with three additions the triage could not know. (1) Japanese Type B continuous employment support is explicitly 'not legally classified as employment under national labor law' and is described as 'structured prevocational engagement'; the report never states how it is remunerated, so under SAP 3.1 it is not paid work and the 5 are coded vocational_activity. (2) The 4 in formal employment are defined as 'engagement in work under a formal labor contract, including part-time or disability employment that meets legal wage and insurance requirements', which is paid_any. (3) The composite required engagement 'for at least 3 months during the 12-month follow-up', so ascertainment is any_time_during_followup, not point prevalence."
nakamura2025,report_quantifiable,,yes,"Counts and a common denominator of 21 are printed for every category (4, 5, 9 of 21) and every percentage reconciles."
pedersen2025,notes,CRITICAL SELECTION unemployed and motivated; 37/246 at 4y; distinct OPUS wave from opus_1998,CONFIRMED selection (verbatim recorded); CONFIRMED distinct from opus_1998; 37/246 REFUTED as an extractable result - the report prints only arm-level counts (22/116 Morpheus and 15/130 standard at 4 years),"SELECTION CONFIRMED with the wording: 'Morpheus targeted OPUS patients aged 18-35 who neither were employed nor enrolled in school but were motivated to do so and were in remission', and 'Patients from Aalborg were included based on the same criteria' (Methods 2.1, p. 2 of 11). Both analysed groups therefore carry the restriction, so employment_selection_status = selected under D9. 37/246 IS REFUTED: it is 22 + 15 over 116 + 130, a sum the report never prints, across two non-randomised site-defined groups. The derivation rules forbid it (components must share arm_id and sit on one common denominator), and 246 is not a whole recruited cohort in any case - it is the union of two selected subsets of 283 Aarhus and 216 Aalborg OPUS patients. No merged row was created."
pedersen2025,cohort_overlap_notes,,"OPUS here is the routine Danish OPUS early-intervention SERVICE (Aarhus and Aalborg, OPUS start 2014-2019), NOT the 1998-2000 OPUS randomised trial (opus_1998). No participant overlap is possible. Participants ARE inside dk_registers_1998 and dk_registers_birth.","The batch note asked for the recruitment windows to be established. They are stated twice and unambiguously: 'This retrospective cohort study included patients of the OPUS programme in the period from January 1, 2014, to December 31, 2019' (Abstract) and 'incident patients who started OPUS treatment in Aarhus or at Aalborg University Hospital (Aalborg) between January 1, 2014, and December 31, 2019' (Methods 2.1). opus_1998 recruited 1998-2000. Three independent reasons rule out double counting: non-overlapping windows; OPUS enrols only incident first-episode patients, so an incident case of 1998-2000 cannot be incident again in 2014-2019; and the sites differ. The real overlap risk for opus_2014 is with the Danish national register cohorts, which is recorded instead."
pedersen2025,report_quantifiable,,yes,"Table 2 prints counts and percentages on stated denominators of 116 and 130 for every outcome and timepoint, and all sixteen cells reconcile."
peebo2022,notes,percentages only; 10-year follow-up gives mean months not prevalence,"CONFIRMED on both points; additionally the construct 'Employment' is never defined, and Table 2b's 12-month 47.7% is arithmetically impossible on its stated base of 154","CONFIRMED. No employment numerator appears anywhere in the report at any follow-up, so nothing was back-calculated and n_employed is blank on all three rows. CONFIRMED that the 10-year outcome is 'Total duration of employment in months, mean (SD)' (76.3 intervention vs 47.1 control, Table 4, p. 211), which is a duration and not a prevalence; no 10-year result was created. NEW: 'Employment%' is never defined, so outcome_construct is unclear rather than paid_any. NEW: Table 2b prints 47.7% employment on n = 154, which no integer numerator can produce (73/154 = 47.40%, 74/154 = 48.05%); that row is conflict_status = unresolved."
peebo2022,report_quantifiable,,no,Employment is reported as a percentage only at every timepoint; no numerator is recoverable without back-calculation (D10.2).
peebo2022,cohort_overlap_notes,,"Describes two samples: tallinn_fep (prospective intervention cohort, n=199) and tallinn_fep_tau (retrospectively formed treatment-as-usual comparison group, n=114). Second cohort contributes no result.","D12.5 and prompt rule 11: two separately assembled samples in one report take two cohort_ids and two report_cohort_map rows. The comparison group was built retrospectively from patients of other departments, not split out of the intervention sample, so it is not a subgroup arm. It contributes no result, so contributes_results = no."
