rob_assessment_id,result_id,rob_tool,rob_tool_version,domain,signalling_responses,judgement,rationale,source_location,assessor,checker,bias_direction
F11_rob_0001,mucci2021_cohort_t48m_working,jbi_prevalence,JBI checklist for prevalence studies (2020),jbi1_sample_frame,,yes,"Twenty-four Italian university psychiatric clinics or mental health departments recruiting community-dwelling, clinically stable people with schizophrenia. An appropriate frame for the target population, with the caveat that academic centres need not represent all Italian services.","Methods, Participants, p. 552",claude-opus-5,,none
F11_rob_0002,mucci2021_cohort_t48m_working,jbi_prevalence,JBI checklist for prevalence studies (2020),jbi2_participant_sampling,,yes,"No sampling step: ""All patients recruited by those 24 participating centers at baseline were asked to participate in the follow-up study."" A census of the baseline cohort.","Methods, Participants, p. 552",claude-opus-5,,none
F11_rob_0003,mucci2021_cohort_t48m_working,jbi_prevalence,JBI checklist for prevalence studies (2020),jbi3_sample_size,,yes,"618 analysed, large for this literature.","Results, Study Population, p. 553",claude-opus-5,,none
F11_rob_0004,mucci2021_cohort_t48m_working,jbi_prevalence,JBI checklist for prevalence studies (2020),jbi4_subjects_setting_described,,unclear,"Age, sex, education and follow-up are given in the article, but the baseline sociodemographic and clinical description is in eTable 1 of Supplement 1 and the exclusion criteria in eAppendix 1, neither of which is held, so the sample cannot be fully characterised from the report.","Methods, Participants, p. 552; Results, p. 553",claude-opus-5,,unclear
F11_rob_0005,mucci2021_cohort_t48m_working,jbi_prevalence,JBI checklist for prevalence studies (2020),jbi5_coverage_of_sample,,no,"618 of 921 (67.1%) were reassessed, and the loss is demonstrably related to the outcome domain: ""the recruited participants typically had better interpersonal (t = -3.51 ...; P < .001) and work functioning (t = -2.68 ...; P = .008) skills as well as higher engagement with mental health services"".","Results, Study Population, p. 553",claude-opus-5,,away_from_null
F11_rob_0006,mucci2021_cohort_t48m_working,jbi_prevalence,JBI checklist for prevalence studies (2020),jbi6_condition_identification,,yes,"""All participants fulfilled DSM-IV criteria for schizophrenia as ascertained by the Structured Clinical Interview for DSM-IV, patient version.""","Methods, Participants, p. 552",claude-opus-5,,none
F11_rob_0007,mucci2021_cohort_t48m_working,jbi_prevalence,JBI checklist for prevalence studies (2020),jbi7_condition_measurement,,unclear,"The employment outcome is called only ""working status"". No definition, instrument, threshold or ascertainment window is given anywhere in the article, and the table that carries it (eTable 2) is not held.","Results, Study Population, p. 553",claude-opus-5,,unclear
F11_rob_0008,mucci2021_cohort_t48m_working,jbi_prevalence,JBI checklist for prevalence studies (2020),jbi8_statistical_analysis,,no,"The count is reported without its denominator, and the printed percentage is incompatible with the stated analysis sample: 208 (35.4%) against 618 analysed implies a base near 588 that is never stated. A proportion whose denominator cannot be identified cannot be appraised.","Results, Study Population, p. 553",claude-opus-5,,unclear
F11_rob_0009,mucci2021_cohort_t48m_working,jbi_prevalence,JBI checklist for prevalence studies (2020),jbi9_response_rate,,no,"32.9% of the baseline cohort was not reassessed, and non-response is associated with poorer baseline work functioning. Full-information maximum likelihood was used for the structural models but nothing is reported about handling missingness in the descriptive working-status comparison.","Methods, Statistical Analysis, p. 553; Results, p. 553",claude-opus-5,,away_from_null
F11_rob_0010,nakamura2025_cohort_t12m_paidany,jbi_prevalence,JBI checklist for prevalence studies (2020),jbi1_sample_frame,,no,"Twenty-six people referred for a cognitive remediation programme in one hospital day care, whom the authors describe as ""self-selected based on interest in vocational goals"". Not an appropriate frame for estimating employment in a schizophrenia population; the contrast the authors themselves draw with about 180 non-CRT attendees of the same day care (1.7% transitioning) shows how strongly the frame is selected.","Methods, Participants, p. 2 of 13; Discussion, p. 7 of 13",claude-opus-5,,away_from_null
