rob_assessment_id,result_id,rob_tool,rob_tool_version,domain,signalling_responses,judgement,rationale,source_location,assessor,checker,bias_direction
cook2016_cohort_cal2000_2012_paidany__jbi1_sample_frame,cook2016_cohort_cal2000_2012_paidany,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al., 9 items)",jbi1_sample_frame,,no,"The frame is volunteers recruited into a supported-employment trial who had to be unemployed and to desire employment, then restricted again to those from six of eight sites who consented to Social Security data matching. It is not an appropriate frame for employment prevalence in a psychosis population, and the authors say so: 'we did not examine a nationally representative sample of adults with psychiatric disabilities, and thus our results are not generalizable'.","Method, p. 1008; Discussion limitations, p. 1013",claude-opus-5,,unclear
cook2016_cohort_cal2000_2012_paidany__jbi2_participant_sampling,cook2016_cohort_cal2000_2012_paidany,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al., 9 items)",jbi2_participant_sampling,,no,"Not a probability or consecutive sample. Participants were paid volunteers who self-selected into the trial and again into the supplemental economic study; 505 of 867 supplemental participants (58%) consented to SSA matching, and the proportion of EIDP subjects entering the long-term follow-up ranged from 17% in the Mid-Atlantic region to 50% in the Northeast.","Method, p. 1008-1009",claude-opus-5,,unclear
cook2016_cohort_cal2000_2012_paidany__jbi3_sample_size,cook2016_cohort_cal2000_2012_paidany,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al., 9 items)",jbi3_sample_size,,yes,449 participants with 13 years of monthly Social Security administrative records give adequate precision for the reported cumulative proportion of 32.9%.,"Method, p. 1008; Table 2, p. 1010",claude-opus-5,,
cook2016_cohort_cal2000_2012_paidany__jbi4_subjects_setting_described,cook2016_cohort_cal2000_2012_paidany,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al., 9 items)",jbi4_subjects_setting_described,,yes,"Table 1 reports race and ethnicity, sex, education, diagnosis, substance use history, benefit receipt, region and mean age for the whole sample and each condition, and the eight sites and four regions are described.","Table 1, p. 1009; Method, p. 1008",claude-opus-5,,
cook2016_cohort_cal2000_2012_paidany__jbi5_coverage_of_sample,cook2016_cohort_cal2000_2012_paidany,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al., 9 items)",jbi5_coverage_of_sample,,no,"Coverage of the identified sample is incomplete and non-random: only six of the eight EIDP sites contributed, and the 449 differed from the remaining EIDP participants on work in the five years before baseline (64% vs 69%), schizophrenia-spectrum diagnosis (54% vs 46%), co-occurring medical conditions (44% vs 35%) and benefit receipt (86% vs 80%), all in the direction of poorer vocational prospects.","Method, p. 1008-1009",claude-opus-5,,underestimate
cook2016_cohort_cal2000_2012_paidany__jbi6_condition_identification,cook2016_cohort_cal2000_2012_paidany,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al., 9 items)",jbi6_condition_identification,,unclear,"Eligibility required 'a DSM-IV axis I diagnosis of mental illness' but this report names no diagnostic instrument and does not say who applied it or how it was verified; only 54.1% of the analysed sample had a schizophrenia-spectrum diagnosis, so the cohort is mixed severe mental illness rather than psychosis.","Method, p. 1008; Table 1, p. 1009",claude-opus-5,,
cook2016_cohort_cal2000_2012_paidany__jbi7_condition_measurement,cook2016_cohort_cal2000_2012_paidany,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al., 9 items)",jbi7_condition_measurement,,yes,"Employment was measured as any reported earnings in the Social Security Disability Analysis File, an administrative source applied identically to every participant and not dependent on recall or self-report.","Method, p. 1008; Measurements, p. 1009",claude-opus-5,,
cook2016_cohort_cal2000_2012_paidany__jbi8_statistical_analysis,cook2016_cohort_cal2000_2012_paidany,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al., 9 items)",jbi8_statistical_analysis,,yes,"The reported proportion is a simple count over the analysed sample and Table 2 is internally consistent: 148/449 = 32.9%, 83/234 = 35.5%, 65/215 = 30.2% and 83 + 65 = 148.","Table 2, p. 1010",claude-opus-5,,
cook2016_cohort_cal2000_2012_paidany__jbi9_response_rate,cook2016_cohort_cal2000_2012_paidany,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al., 9 items)",jbi9_response_rate,,no,"Almost a quarter of the sample (24.5%) died and were right-censored on program exit, so exposure to the 13-year window is not uniform, and the authors add that earnings and work-review data are incomplete for 2010-2012 because of processing lags and for beneficiaries who left the rolls.","Statistical Analysis, p. 1009; Discussion, p. 1012-1013",claude-opus-5,,underestimate
cook2016_se_cal2000_2012_paidany__rob2_1_randomisation,cook2016_se_cal2000_2012_paidany,rob2,"RoB 2 (22 August 2019 version), individually randomised parallel-group trials",rob2_1_randomisation,,some_concerns,"The report states that 'after enrollment, participants were randomly assigned to study condition' but describes neither the sequence generation nor allocation concealment, referring to the parent trial report. Table 1 shows no significant baseline difference between the 234 and 215 on any recorded variable, which is reassuring but is a comparison of the analysed subsample rather than of the randomised trial.","Method, p. 1008; Table 1, p. 1009",claude-opus-5,,
