report_id,field,old,new,reason
andersen2024,cohort_id,headspace_hep_au,headspace_hep_fep_au,"Provisional triage cohort refuted. The report describes two parallel samples with mutually exclusive, prospectively applied entry definitions (FEP against UHR, both by CAARMS), different programme durations (2-5 years against 6-12 months) and entirely separate analyses; the authors call them two cohorts throughout. Under D12.5 and codebook rule 11 they are two cohort_ids, not two subgroup arms. Combining them would also make the cohort 51.0% qualifying (1574 of 3089) and would risk losing the 12-month FEP result exactly as dayabandara2026's was lost."
andersen2024,cohort_id,headspace_hep_au,headspace_hep_uhr_au,"Second cohort created for the ultra-high-risk sample (n=1515). diagnosis_group = chr, perc_qualifying_diagnosis = 0, subgroup_extractable = no (the report does not identify which UHR participants transitioned). Barred from the primary synthesis by SAP section 7; recorded so the composition of andersen2024 is auditable."
andersen2024,cohort_overlap_notes,shares cohort with: brown2022,"Describes two parallel cohorts, headspace_hep_fep_au (n=1574) and headspace_hep_uhr_au (n=1515), from the headspace Early Psychosis programme between 19 June 2017 and 22 March 2021. brown2022 is off the screening list under D10.1; no figure was imported from it.","brown2022 is not on the DATA_EXTRACTION_FINAL.xlsx screening list and was not read. andersen2024 cites it only for previously published clinical and functional outcomes of the same service (Brown et al. 2022, referenced at pp. 876 and 882); no count was taken from it. The overlap note is rewritten to name the two confirmed cohorts."
strassnig2017,report_quantifiable,,no,"Table 1's employment counts, its percentages and the text's overall 32.9% are mutually irreconcilable, and no numerator can be obtained without back-calculating from a percentage."
strassnig2018,report_quantifiable,,yes,Employed counts 36 of 146 and 46 of 87 are printed and each reproduces a printed percentage exactly once the shifted percentage column is realigned.
wang2020b,report_quantifiable,,no,Employment is reported only as mean cumulative work duration and income per year; no employed/not-employed count and no proportion appears anywhere in the report.
wang2020c,report_quantifiable,,no,"Same as wang2020b. The only employment counts printed are the baseline allocation to workshop, sheltered or supported streams, which is an exposure at entry rather than an employment status observed at a follow-up timepoint."
andersen2024,report_quantifiable,,yes,Table 2 prints four mutually exclusive and exhaustive vocational categories with explicit missing counts at every timepoint; paid_any is derivable at 9 and 12 months.
andersen2026,report_quantifiable,,yes,"Competitive employment 49 of 198 and the competitive-employment-or-education composite 92 of 198 are printed. paid_any itself is not identified, which is a construct limitation rather than a quantifiability one."
wang2020b,cohort_id,yuli_taiwan,yuli_taiwan,"CONFIRMED, not changed. Recruitment window (January 2013 to December 2015), setting (the therapeutic community of Yuli Hospital, Hualien) and diagnostic inclusion (DSM-IV-TR schizophrenia or schizoaffective disorder) are identical to wang2020c, so the two are one cohort with overlapping analysis samples. Recorded here because the batch note required the shared identifier to be tested rather than assumed."
strassnig2018,cohort_id,suffolk_county,suffolk_county,"CONFIRMED, not changed. Both reports analyse the 20-year follow-up of the Suffolk County Mental Health Project first-admission cohort recruited 1989 to 1995, with identical baseline eligibility criteria; strassnig2017's 128 are a complete-data subset of strassnig2018's 233. One cohort, one result to be selected."
andersen2026,cohort_id,dk_eop_pooled,dk_eop_pooled,"CONFIRMED, not changed. The four constituent studies are pooled into one analysis sample of 205 with a common entry definition (first-episode ICD-10 psychosis, age 10-17, Denmark 1998-2016), a single reported result set and cohort of origin entered only as a covariate, so D12.5 does not split it. Duplicate participants across Attention and TEA (n=13) were de-duplicated by the authors."
