result_id,field,extracted_value,source_locator,extractor,extraction_date,batch_id,verifier,verified_date,verified_value,agreement,adjudication,notes
strassnig2017_s2017cohort_t240m_paidcomp,outcome_construct,paid_competitive,"Results section 3, p. 182 ('In the entire sample, 32.9% were employed'); Table 1, p. 182, row 'Gainful employment'; outcome definition at section 2.2, pp. 181-182",claude-opus-5,2026-08-12,F05,,,,,,
strassnig2017_s2017cohort_t240m_paidcomp,outcome_verbatim,"gainful employment (part or full time employment in compensated, non-supportive settings)","Results section 3, p. 182 ('In the entire sample, 32.9% were employed'); Table 1, p. 182, row 'Gainful employment'; outcome definition at section 2.2, pp. 181-182",claude-opus-5,2026-08-12,F05,,,,,,
strassnig2017_s2017cohort_t240m_paidcomp,ascertainment,point_prevalence,"Results section 3, p. 182 ('In the entire sample, 32.9% were employed'); Table 1, p. 182, row 'Gainful employment'; outcome definition at section 2.2, pp. 181-182",claude-opus-5,2026-08-12,F05,,,,,,
strassnig2017_s2017cohort_t240m_paidcomp,followup_months,240,"Results section 3, p. 182 ('In the entire sample, 32.9% were employed'); Table 1, p. 182, row 'Gainful employment'; outcome definition at section 2.2, pp. 181-182",claude-opus-5,2026-08-12,F05,,,,,,
strassnig2017_s2017cohort_t240m_paidcomp,followup_basis,since_baseline,"Results section 3, p. 182 ('In the entire sample, 32.9% were employed'); Table 1, p. 182, row 'Gainful employment'; outcome definition at section 2.2, pp. 181-182",claude-opus-5,2026-08-12,F05,,,,,,
strassnig2017_s2017cohort_t240m_paidcomp,result_role,reported,"Results section 3, p. 182 ('In the entire sample, 32.9% were employed'); Table 1, p. 182, row 'Gainful employment'; outcome definition at section 2.2, pp. 181-182",claude-opus-5,2026-08-12,F05,,,,,,
strassnig2017_s2017cohort_t240m_paidcomp,conflict_status,unresolved,"Results section 3, p. 182 ('In the entire sample, 32.9% were employed'); Table 1, p. 182, row 'Gainful employment'; outcome definition at section 2.2, pp. 181-182",claude-opus-5,2026-08-12,F05,,,,,,
strassnig2017_s2017cohort_t240m_paidcomp,employment_selection_status,none,"strassnig2018, Methods, p. 3 of the author manuscript (Schizophr Res 2018;197:150-155); the same criteria appear at strassnig2017, section 2 Methods, p. 181",claude-opus-5,2026-08-12,F05,,,,,,Cohort-level D9 gate carried onto the result it determines.
strassnig2017_s2017cohort_t240m_paidcomp,arm_type,subgroup,"Results section 3, p. 182 ('In the entire sample, 32.9% were employed'); Table 1, p. 182, row 'Gainful employment'; outcome definition at section 2.2, pp. 181-182",claude-opus-5,2026-08-12,F05,,,,,,Only arm_type = cohort enters the primary prevalence pool.
strassnig2017_s2017cohort_t240m_paidcomp,perc_qualifying_diagnosis,100,"strassnig2018, Methods, p. 3 of the author manuscript (Schizophr Res 2018;197:150-155); the same criteria appear at strassnig2017, section 2 Methods, p. 181",claude-opus-5,2026-08-12,F05,,,,,,SAP section 7 population gate.
