rob_assessment_id,result_id,rob_tool,rob_tool_version,domain,signalling_responses,judgement,rationale,source_location,assessor,checker,bias_direction
strassnig2017_s2017cohort_t240m_paidcomp__jbi1_sample_frame,strassnig2017_s2017cohort_t240m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi1_sample_frame,,yes,"Consecutive first admissions with a psychotic disorder to the 12 psychiatric inpatient facilities serving Suffolk County NY, an epidemiologically defined catchment. An appropriate frame for a first-episode psychosis population.","Methods section 2, p. 181; Abstract, p. 180",claude-opus-5 (batch F05),,
strassnig2017_s2017cohort_t240m_paidcomp__jbi2_participant_sampling,strassnig2017_s2017cohort_t240m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi2_participant_sampling,,yes,Consecutive admissions over a defined window rather than a convenience or volunteer sample; no sampling step selected on functioning or employment.,"Methods section 2, p. 181",claude-opus-5 (batch F05),,
strassnig2017_s2017cohort_t240m_paidcomp__jbi3_sample_size,strassnig2017_s2017cohort_t240m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi3_sample_size,,unclear,"128 participants would support a proportion of moderate precision, but the report gives the analysis sample as 122 in the Abstract and 128 in the Results, so the denominator itself is not established.","Abstract, p. 180; Results section 3, p. 182",claude-opus-5 (batch F05),,
strassnig2017_s2017cohort_t240m_paidcomp__jbi4_subjects_setting_described,strassnig2017_s2017cohort_t240m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi4_subjects_setting_described,,yes,"Age, sex, ethnicity, diagnostic distribution, catchment, recruitment window and assessment schedule are all described.","Methods section 2 and Results section 3, pp. 181-182",claude-opus-5 (batch F05),,
strassnig2017_s2017cohort_t240m_paidcomp__jbi5_coverage_of_sample,strassnig2017_s2017cohort_t240m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi5_coverage_of_sample,,no,"The analysis covers only participants with complete 20-year data whose 10-year consensus diagnosis was schizophrenia/schizoaffective disorder or bipolar disorder; participants with psychotic depression, substance-related and other psychoses are excluded, and the report prints no flow from first admission to the analysed 128.","Methods section 2, p. 181; Results section 3, p. 182",claude-opus-5 (batch F05),,
strassnig2017_s2017cohort_t240m_paidcomp__jbi6_condition_identification,strassnig2017_s2017cohort_t240m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi6_condition_identification,,yes,"SCID for DSM-III-R at baseline, 6 months and 2 years and SCID for DSM-IV at year 10, combined with medical records and informant interviews into a longitudinal DSM-IV consensus diagnosis.","Methods section 2, p. 181",claude-opus-5 (batch F05),,
strassnig2017_s2017cohort_t240m_paidcomp__jbi7_condition_measurement,strassnig2017_s2017cohort_t240m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi7_condition_measurement,,unclear,"Employment was interviewer-coded with a stated definition and by integrating participant, informant and record information, which is a standard procedure, but no reliability data for the coding are reported and the resulting table is internally contradictory.","Methods section 2.2, pp. 181-182; Table 1, p. 182",claude-opus-5 (batch F05),,
strassnig2017_s2017cohort_t240m_paidcomp__jbi8_statistical_analysis,strassnig2017_s2017cohort_t240m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi8_statistical_analysis,,no,"The printed counts, the printed percentages and the text's overall 32.9% employed cannot all be true, and the Discussion's 66/80 statement contradicts both readings. No interval is given for any proportion.","Table 1, p. 182; Results section 3, p. 182; Discussion, p. 183",claude-opus-5 (batch F05),,
strassnig2017_s2017cohort_t240m_paidcomp__jbi9_response_rate,strassnig2017_s2017cohort_t240m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi9_response_rate,,unclear,The report describes the sample as those with complete data at the 20-year assessment but prints no retention numerator or denominator and no comparison of responders with non-responders.,"Results section 3, p. 182",claude-opus-5 (batch F05),,
strassnig2018_s2018scz_t240m_paidcomp__jbi1_sample_frame,strassnig2018_s2018scz_t240m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi1_sample_frame,,yes,A county-wide treatment sample recruited during first admission for a psychotic disorder between 1989 and 1995 in Suffolk County NY. An appropriate frame for a first-episode psychosis population.,"Methods, p. 3 of the author manuscript",claude-opus-5 (batch F05),,
