report_id,field,old,new,reason
leighton2019b,cohort_id,crisp_glasgow,crisp_glasgow; glasgow_edinburgh_2006,"The report describes TWO independently recruited samples and therefore takes two cohort_ids under D12.5 and extraction_v3 rule 11. Evidence, all from leighton2019b: (a) 'The Compassionate Recovery: Individualised Support in early Psychosis (CR:ISP) study was a 24-month non-randomised prospective study... Recruitment took place in mental health services in the NHS Greater Glasgow & Clyde (NHSGGC) health board between 2011 and 2014... 83 participants were entered into the study' (Methods, p. 3); (b) 'The validation dataset was formed of 79 FEP patients recruited to an earlier study (1 September 2006 to 31 August 2009), which took place in mental health services in the NHS in Glasgow and in Edinburgh' (Methods, p. 4). Different years, different health boards, different parent studies, separate published descriptions, and different assessment schedules (0, 3, 6, 12 months against 0, 6, 12 months). They cannot share participants and are not a post-hoc split of one sample, so subgroup arms would be wrong. Table 1 (p. 6) reports their 12-month EET outcomes separately: 32/75 and 27/67. glasgow_edinburgh_2006 is a NEW cohort_id, absent from data/inclusion_manifest.csv, data/extraction_cohorts.csv and the F09 row of data/batch_ledger.csv, and it needs adding to all three on merge."
leighton2019b,notes,32/75 training; composite EET; two cohorts pooled in one report,"CONFIRMED distinct publication from leighton2019 (PLOS ONE 14(3):e0212846, 7 March 2019, cited by leighton2019 as reference 9). Two independently recruited cohorts, reported SEPARATELY not pooled: crisp_glasgow 32/75 and glasgow_edinburgh_2006 27/67 at 12 months, both paid_or_education_or_training composites. 'Training' in the old note meant the machine-learning training dataset, not vocational training.","Two corrections. First, 'two cohorts pooled in one report' is half right: there are two cohorts, but leighton2019b does not pool them, it prints both in Table 1 (p. 6). It is leighton2019 that pools them, into a single 'Scottish' validation figure of 59/142. Second, 'training' was ambiguous next to an EET composite; it referred to the training dataset."
leighton2019b,eligibility_status,include,include (unchanged),"Recorded to close the batch question rather than to change anything. leighton2019 and leighton2019b are TWO DISTINCT PUBLICATIONS, not one publication staged twice. Evidence: different journals (The Lancet Digital Health 2019;1:e261-70 against PLOS ONE 2019;14(3):e0212846), different DOIs, different dates (12 September 2019 against 7 March 2019), different author lists (22 authors including Upthegrove, Benros, Nordentoft and Birchwood, against 9 Glasgow and Edinburgh authors), different development cohorts (National EDEN n=1027 against CR:ISP n=83), different outcome sets (four outcomes including social recovery and quality of life, against three: EET, point remission, period remission), and leighton2019 CITES leighton2019b as reference 9 and discusses it as prior work ('Leighton and colleagues developed 1-year remission and vocational recovery prediction models on 83 patients with first-episode psychosis and externally validated their models on 79 patients'). Neither eligibility_status nor either report_id needs changing."
leighton2019,notes,"436/807 at 12m; composite EET; OPUS validation overlaps opus_1998, do not double count","CONFIRMED 436/807 at 12 months for national_eden, a paid_or_education_or_training composite. THREE validation samples must be kept out of the pools, not one: opus_1998 (173/553, already extracted as hansen2024 and hansen2024b), crisp_glasgow and glasgow_edinburgh_2006 (pooled by this report as 'Scottish' 59/142, and reported separately by leighton2019b as 32/75 and 27/67). All three are recorded in report_cohort_map.csv as relationship=validation_sample, contributes_results=no, and none has a result row in this shard.","The old note named only the OPUS overlap. The Scottish overlap is exactly the same hazard and is arithmetically provable: 32+27 = 59 and 75+67 = 142, matching leighton2019's printed 59/142; the symptom-remission figures corroborate it, 33+33 = 66 and 67+64 = 131 against leighton2019's printed 66/131. Left unrecorded, the pooled Scottish figure could have been assigned to crisp_glasgow and counted a second time alongside leighton2019b."
khare2021,notes,"287/456 at 12m derived by summing cells, VERIFY; distinct from the Pune public cohort","VERIFIED 287/456 in any paid work at 12 months, derived as 257 (working at both assessments) + 30 (not working at baseline but employed at follow-up) from a printed four-cell partition of the 456 analysed participants that sums exactly (257+148+21+30 = 456) and is corroborated by Table 1's urban/rural split. DISTINCT from pune_public confirmed. Construct caveat recorded: family-business workers without separate wages are included.","The VERIFY instruction is discharged against Results 3.1 (p. 474) and Table 1 (p. 475). No back-calculation was involved: every input is a printed count. Distinctness from pune_public is established by setting (two private hospitals in Pune and Ahmednagar against public-sector services), size (550 baseline, 456 analysed against 107) and the fact that khare2021 cites Khare et al. 2020 as its own baseline paper."
liangrong2021,first_author,Liangrong,Zheng,"PROPOSED, for human decision; nothing in this shard depends on it. The byline reads 'Zheng Liangrong, Zhang Guican, Zhu Qi, Yang Weirui, Zhang Yaqi, Li Tong, Liang Wenjing, Zhang Ming and Guan Nianhong', which is Chinese family-name-first order, so the first author's surname is Zheng; the corresponding-author block confirms the pattern with 'Zhang Ming' and 'Guan Nianhong'. The journal's own self-citation line, 'Citation: Liangrong Z, Guican Z, Qi Z...', mis-parses the given name as the surname, and the manifest inherited that error from Crossref. The codebook requires first_author to be the surname. report_id is deliberately NOT proposed for change: liangrong2021 is keyed into data/batch_ledger.csv, the PDF hash list and this shard, and renaming it would cost more than the error."
liangrong2021,notes,70/170; childhood-onset schizophrenia; 67 months is a median not a fixed timepoint,"CONFIRMED 70/170 employed and 159/170 at school or employed, all internally consistent. The 67 months is the MEDIAN of a length-of-follow-up distribution running from 0.2 to 16.8 years (IQR 3.0 to 7.7), so it is not an elapsed landmark: followup_basis is set to a value barred from every horizon and the result cannot enter the 5-year band, which it would otherwise fall inside.","The triage hint is confirmed and sharpened. 5.6 years is 67.2 months, which sits inside the 48 to 78 month window for the 5-year horizon, so this was a live risk rather than a theoretical one. calendar_end_common was considered and refuted: a shared end date is impossible against admissions spanning January 2000 to December 2013 with a 0.2-year minimum follow-up."
lindgren2020,notes,26/53 at 12m; COMPOSITE work-or-study; small sample,"CONFIRMED on all three counts. 26/53 (49.1 per cent) at the 1-year interview; the construct is 'working (full-time or part-time work) or studying and not being on sick leave', coded paid_or_education; small sample confirmed, and worse than it looks because the size of the recruited cohort is never printed, so n_entered is blank and the SAP section 6 bounding analyses cannot run for this cohort.","Triage confirmed. Two details added that the note did not carry: the sick-leave clause, which narrows the composite in a direction no other report in this batch shares, and the missing n_entered."
luo2019,notes,NEAR-ZERO CELL 1/28 control vs 10/30 ACT; selected for severe impairment,"NEAR-ZERO CELL CONFIRMED as printed, 10/30 ACT against 1/28 control, recorded with no continuity correction. TWO CORRECTIONS: (a) ascertainment is any_time_during_followup, not point prevalence, since the counts are of patients who 'returned to wage-earning employment ... over the 12-month follow-up' with Kaplan-Meier time-to-event analysis censored at 365 days, so no 12-month status is printed at all; (b) 'selected for severe impairment' is REFUTED as an employment-selection ground, because severe functional impairment is not among the criteria D9 enumerates. Employment selection is coded unclear on incomplete_reporting instead, because the operational content of inclusion criteria (4) and (5) is held only in the online Supplementary materials, which are not in the PDF, and because the re-employment framing implies but never states universal baseline unemployment.","The near-zero cell is confirmed exactly. The ascertainment correction matters more than the cell: read as point prevalence the result would have gone to a synthesis it does not belong in. The selection correction changes the recorded reason but not the outcome, since unclear and selected are both excluded from the primary pool, and the arms are allocated arms in any case."
khare2021,cohort_id,pune_private,pune_private (unchanged),"Recorded as an observation, no change made. The slug is a partial misnomer: the cohort was recruited at TWO sites in two districts, Poona Hospital and Research Centre in Pune (urban, 272 of the 456 analysed) and Manasdeep Psychiatric and Addiction Treatment Center in Ahmednagar (rural, 184). What the slug gets right is that both are private hospitals, which is the contrast with pune_public. Cohort ids are stable slugs and renaming would break the ledger, so the two-site composition is recorded in cohort_name and overlap_notes instead."
