rob_assessment_id,result_id,rob_tool,rob_tool_version,domain,signalling_responses,judgement,rationale,source_location,assessor,checker,bias_direction
khare2021_cohort_t12m_paidany__jbi1_sample_frame,khare2021_cohort_t12m_paidany,jbi_prevalence,"JBI critical appraisal checklist for prevalence studies (Munn et al. 2020), 9 items",jbi1_sample_frame,,no,"Interpretation applied consistently across every JBI assessment in this shard: the estimand is employment prevalence, so items 6 and 7 are read as covering ascertainment of the EMPLOYMENT outcome, and adequacy of the diagnostic sampling is carried by items 1 and 4. The target population is people with severe mental illness in India, but the frame is the outpatient departments of two private hospitals in two districts of one state, Maharashtra. Private outpatient attenders are not representative of the Indian SMI population, and the paper's own contrast of urban 46.0 per cent against rural 71.7 per cent employment at both assessments shows how strongly the frame drives the estimate.","Methods 2 and 2.1, p. 473; Table 1, p. 475",claude-opus-5 (batch F09),,
khare2021_cohort_t12m_paidany__jbi2_participant_sampling,khare2021_cohort_t12m_paidany,jbi_prevalence,"JBI critical appraisal checklist for prevalence studies (Munn et al. 2020), 9 items",jbi2_participant_sampling,,no,"""A convenience sampling method was used to enroll participants"": psychiatrists described the study to patients and referred interested patients to the interviewers, and ""The number of outpatients informed about the study was not tracked."" Neither random nor consecutive sampling.","Methods 2.2 Procedures, p. 473",claude-opus-5 (batch F09),,
khare2021_cohort_t12m_paidany__jbi3_sample_size,khare2021_cohort_t12m_paidany,jbi_prevalence,"JBI critical appraisal checklist for prevalence studies (Munn et al. 2020), 9 items",jbi3_sample_size,,yes,"550 recruited and 456 analysed, giving a 12-month proportion of 287/456 with a 95 per cent binomial interval of roughly 4.4 percentage points either side. No a priori sample size calculation is reported, but the achieved size is ample for a prevalence estimate.","Methods 2.1, p. 473; Results 3.1, p. 474",claude-opus-5 (batch F09),,
khare2021_cohort_t12m_paidany__jbi4_subjects_setting_described,khare2021_cohort_t12m_paidany,jbi_prevalence,"JBI critical appraisal checklist for prevalence studies (Munn et al. 2020), 9 items",jbi4_subjects_setting_described,,yes,"Both sites are named and characterised as urban and rural districts, and the analysed sample is described by age band, sex, urban or rural residence and diagnostic group, with job type, employer type, hours, income and job duration for those employed.","Methods 2, p. 473; Methods 2.2, p. 473; Table 1, p. 475",claude-opus-5 (batch F09),,
khare2021_cohort_t12m_paidany__jbi5_coverage_of_sample,khare2021_cohort_t12m_paidany,jbi_prevalence,"JBI critical appraisal checklist for prevalence studies (Munn et al. 2020), 9 items",jbi5_coverage_of_sample,,yes,"459 of 550 (83.5 per cent) completed the follow-up, and completers were compared with non-completers on demographic and clinical characteristics with one difference found: participants with schizophrenia-schizoaffective disorder were less likely to complete. That comparison is reported, so the coverage shortfall is characterised rather than hidden, but it is differential on the diagnostic group that matters most to this review.","Methods 2.2, p. 473; Supplementary Table 1, NOT HELD",claude-opus-5 (batch F09),,
khare2021_cohort_t12m_paidany__jbi6_condition_identification,khare2021_cohort_t12m_paidany,jbi_prevalence,"JBI critical appraisal checklist for prevalence studies (Munn et al. 2020), 9 items",jbi6_condition_identification,,yes,"Interpretation applied consistently across every JBI assessment in this shard: the estimand is employment prevalence, so items 6 and 7 are read as covering ascertainment of the EMPLOYMENT outcome, and adequacy of the diagnostic sampling is carried by items 1 and 4. Employment was ascertained in a structured interview covering current work status plus job title, employer, duties, hours worked per week and monthly earnings, and the analysis deliberately excluded the one volunteer and the two full-time students, so unpaid activity and education are outside the numerator. The caveat, recorded in the result's notes rather than downgrading this item, is that participants in family-run businesses who were not paid separate wages are included with an imputed share of family income.","Methods 2.3.2, p. 473-474; Results 3, p. 474",claude-opus-5 (batch F09),,
khare2021_cohort_t12m_paidany__jbi7_condition_measurement,khare2021_cohort_t12m_paidany,jbi_prevalence,"JBI critical appraisal checklist for prevalence studies (Munn et al. 2020), 9 items",jbi7_condition_measurement,,yes,"The same instrument was used at baseline and follow-up, administered by interviewers with at least a Master's degree, trained, with weekly supervision, in Marathi, in a private room. One weakening: 137 of the follow-up interviews were conducted by telephone rather than in person, and the paper does not test whether work status differed by interview mode.","Methods 2.2, p. 473; Methods 2.3, p. 473",claude-opus-5 (batch F09),,
khare2021_cohort_t12m_paidany__jbi8_statistical_analysis,khare2021_cohort_t12m_paidany,jbi_prevalence,"JBI critical appraisal checklist for prevalence studies (Munn et al. 2020), 9 items",jbi8_statistical_analysis,,yes,"The numerator is a sum of two printed counts from a four-cell partition that sums exactly to the denominator, and every printed percentage reproduces on that denominator. Kappa and McNemar statistics are appropriate for the stability question the paper asks.","Results 3.1, p. 474; Table 1, p. 475",claude-opus-5 (batch F09),,
khare2021_cohort_t12m_paidany__jbi9_response_rate,khare2021_cohort_t12m_paidany,jbi_prevalence,"JBI critical appraisal checklist for prevalence studies (Munn et al. 2020), 9 items",jbi9_response_rate,,unclear,"The follow-up rate is good at 83.5 per cent, but the recruitment response rate cannot be verified because the report contradicts itself: ""The number of outpatients informed about the study was not tracked"" sits in the same paragraph as ""A higher proportion of outpatients agreed to participate at Ahmednagar site (99.2%) than in Pune (81.4%)"". Those agreement percentages must have a denominator, so one of the two statements is loose. See inconsistencies.md.","Methods 2.2 Procedures, p. 473",claude-opus-5 (batch F09),,
leighton2019_nationaleden_t12m_eet__jbi1_sample_frame,leighton2019_nationaleden_t12m_eet,jbi_prevalence,"JBI critical appraisal checklist for prevalence studies (Munn et al. 2020), 9 items",jbi1_sample_frame,,yes,"Interpretation applied consistently across every JBI assessment in this shard: the estimand is employment prevalence, so items 6 and 7 are read as covering ascertainment of the EMPLOYMENT outcome, and adequacy of the diagnostic sampling is carried by items 1 and 4. 1027 patients with first-episode psychosis recruited from 14 early intervention services across NHS England between 2005 and 2010, which is an appropriate and unusually broad frame for the EIP first-episode population the estimate speaks to.","Methods, Study design and sources of data, p. e263",claude-opus-5 (batch F09),,
