report_id,cohort_id,relationship,contributes_results,notes
khare2021,pune_private,describes,yes,Twelve-month follow-up of the cohort whose baseline is Khare et al. 2020.
leighton2019,national_eden,describes,yes,Model development and internal-external validation cohort; the only cohort from which leighton2019 contributes a result.
leighton2019,opus_1998,validation_sample,no,"OPUS is used only to externally validate models developed on EDEN. leighton2019 prints vocational recovery 173/553 (31 per cent) at 1 year for OPUS (Table 1, p. e265). NO RESULT ROW IS CREATED for opus_1998 from this report: opus_1998 is already extracted from its own reports hansen2024 and hansen2024b, and pooling a validation-exercise figure alongside the cohort's own report would double count the same participants. If the review wants an OPUS 12-month EET result it must come from an OPUS report (Petersen et al. 2005), not from here. Note also that the figure is an EET composite, so it could never enter the paid_any primary pool in any case."
leighton2019,crisp_glasgow,validation_sample,no,"leighton2019 does not report crisp_glasgow separately: it pools it with glasgow_edinburgh_2006 into one 'Scottish' validation sample and prints vocational recovery 59/142 (42 per cent). That pooled figure spans two independently recruited cohorts and cannot be assigned to either, and leighton2019b reports both separately (32/75 and 27/67, which sum exactly to 59/142). No result row is created here."
leighton2019,glasgow_edinburgh_2006,validation_sample,no,Second half of leighton2019's pooled 'Scottish' validation sample of 162. See the crisp_glasgow row. No result row is created here.
leighton2019b,crisp_glasgow,describes,yes,"Training dataset, n=83 entered, 75 with the 12-month EET outcome. Report of record for CR:ISP."
leighton2019b,glasgow_edinburgh_2006,secondary_analysis,yes,"Validation dataset, n=79 entered, 67 with the 12-month EET outcome. The cohort itself was recruited to an earlier study reported in full elsewhere (Gumley et al. 2014, Br J Psychiatry 205:60-67), which is why the relationship is secondary_analysis rather than describes; leighton2019b is nonetheless the only report of this cohort in the batch and prints its own outcome counts. Second of two parallel samples in one report."
liangrong2021,sunyatsen_guangzhou,describes,yes,
lindgren2020,helsinki_eps,describes,yes,
luo2019,changsha_act_rct,describes,yes,"Allocated arms only; no whole-cohort prevalence row, because the ACT intervention was employment-targeted."
