rob_assessment_id,result_id,rob_tool,rob_tool_version,domain,signalling_responses,judgement,rationale,source_location,assessor,checker,bias_direction
evensen2017_cohort_t24m_paidcomp__q1_sample_frame,evensen2017_cohort_t24m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (2020, 9 items)",jbi1_sample_frame,,no,"The sampling frame is people referred to, and starting, a vocational rehabilitation programme earmarked for schizophrenia spectrum disorders in six Norwegian counties, not people with schizophrenia in a defined population. 319 were referred, 61 declined 'mainly due to lack of motivation' and 25 eligible people did not start the vocational rehabilitation and are outside the cohort; gjerdalen2023 states that 'all the participants exhibited some level of motivation to work'. The frame is therefore conditioned on the exposure of interest.","evensen2017, Participants pp. 181-182 and Figure 1 p. 182; gjerdalen2023, Discussion p. 28",claude-opus-5 (batch F02),,"unpredictable but conditioned on work motivation and vocational-service entry; the cohort-level employment_selection_status is `selected`, so this result is barred from the primary prevalence pool regardless"
evensen2017_cohort_t24m_paidcomp__q2_sampling_method,evensen2017_cohort_t24m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (2020, 9 items)",jbi2_participant_sampling,,no,"Non-probability recruitment: referral from local mental health centres and vocational services, plus self-referral, with no enumeration of the underlying catchment population and no consecutive or random sampling. Volunteers into a work programme are not representative of the schizophrenia population whose employment rate is the estimand.","evensen2017, Participants p. 181; evensen2019, Participants p. 2",claude-opus-5 (batch F02),,likely overestimates population employment
evensen2017_cohort_t24m_paidcomp__q3_sample_size,evensen2017_cohort_t24m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (2020, 9 items)",jbi3_sample_size,,yes,"148 entered and employment status was observed for 139. At an observed proportion of 0.22 the exact binomial 95 per cent interval is roughly 0.16 to 0.30, adequate for a descriptive cohort proportion.","evensen2017, Figure 1 p. 182 and Results p. 183",claude-opus-5 (batch F02),,
evensen2017_cohort_t24m_paidcomp__q4_subjects_and_setting,evensen2017_cohort_t24m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (2020, 9 items)",jbi4_subjects_setting_described,,yes,"Table 1 reports diagnosis breakdown, age, sex, ethnicity, education, antipsychotic DDD, duration of illness, previous work experience, symptoms, GAF and (in gjerdalen2023) IQ and MCCB scores, separately by allocation group. The six-county setting, the JUMP programme content and the Norwegian welfare and vocational-service context are described at length.","evensen2017, Table 1 p. 183; Materials and methods pp. 181-182",claude-opus-5 (batch F02),,
evensen2017_cohort_t24m_paidcomp__q5_coverage_of_identified_sample,evensen2017_cohort_t24m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (2020, 9 items)",jbi5_coverage_of_sample,,yes,"139 of the 148 who entered, and 139 of the 146 alive, had 2-year employment status observed (95.2 per cent of survivors). The 7 not reached are identified and their handling is stated.","evensen2017, Figure 1 p. 182 (78 + 61) and Results p. 183",claude-opus-5 (batch F02),,
evensen2017_cohort_t24m_paidcomp__q6_condition_identification_valid,evensen2017_cohort_t24m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (2020, 9 items)",jbi6_condition_identification,,yes,"DSM-IV broad schizophrenia spectrum disorder determined at baseline with the Norwegian M.I.N.I. PLUS (modules A, C, D, K, L, M) by clinicians trained in the instrument; 100 per cent of the sample carries a qualifying diagnosis, about 88 per cent schizophrenia.","evensen2017, Clinical assessments p. 182",claude-opus-5 (batch F02),,
evensen2017_cohort_t24m_paidcomp__q7_condition_measured_reliably,evensen2017_cohort_t24m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (2020, 9 items)",jbi7_condition_measurement,,yes,"Employment status was recorded in the same four categories for every participant at fixed assessment points, with a pre-stated quantitative threshold for competitive employment ('at least 5 hours of paid work per week'), and the 2-year status was obtained by interview and confirmed against register-based employment statistics.","evensen2017, Outcome measures p. 183; gjerdalen2023, 2.4.3 Employment data p. 25",claude-opus-5 (batch F02),,
evensen2017_cohort_t24m_paidcomp__q8_statistical_analysis,evensen2017_cohort_t24m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (2020, 9 items)",jbi8_statistical_analysis,,unclear,"The proportion is a simple percentage with no confidence interval, and the denominator is not held constant across the four printed categories: competitive, work placement and sheltered work are percentages of 146 while the unemployed 39.2 per cent is 58/148. The counts themselves are internally consistent and reconcile against evensen2019 Table 1, so the defect is in the reporting rather than the numerator.","evensen2017, Results / Employment outcome p. 183",claude-opus-5 (batch F02),,minimal for this numerator
evensen2017_cohort_t24m_paidcomp__q9_response_rate,evensen2017_cohort_t24m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (2020, 9 items)",jbi9_response_rate,,yes,"7 of 146 survivors (4.8 per cent) could not be reached, and the authors state that they managed this conservatively by classifying them as unemployed rather than dropping them silently. The imputation is worst case for employment and therefore cannot inflate the numerator.","evensen2017, Results / Employment outcome p. 183",claude-opus-5 (batch F02),,
gjerdalen2023_cohort_t60m_paidcomp__q1_sample_frame,gjerdalen2023_cohort_t60m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (2020, 9 items)",jbi1_sample_frame,,no,"The sampling frame is people referred to, and starting, a vocational rehabilitation programme earmarked for schizophrenia spectrum disorders in six Norwegian counties, not people with schizophrenia in a defined population. 319 were referred, 61 declined 'mainly due to lack of motivation' and 25 eligible people did not start the vocational rehabilitation and are outside the cohort; gjerdalen2023 states that 'all the participants exhibited some level of motivation to work'. The frame is therefore conditioned on the exposure of interest.","gjerdalen2023, 2.3 Participants pp. 24-25 and Discussion p. 28; evensen2017, Figure 1 p. 182",claude-opus-5 (batch F02),,unpredictable but conditioned on work motivation and vocational-service entry
gjerdalen2023_cohort_t60m_paidcomp__q2_sampling_method,gjerdalen2023_cohort_t60m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (2020, 9 items)",jbi2_participant_sampling,,no,"Non-probability recruitment: referral from local mental health centres and vocational services, plus self-referral, with no enumeration of the underlying catchment population and no consecutive or random sampling. Volunteers into a work programme are not representative of the schizophrenia population whose employment rate is the estimand. gjerdalen2023 repeats the same recruitment route: 'Participants were primarily referred from mental health and vocational services within their catchment area, but self-referral was also possible.'","gjerdalen2023, 2.3 Participants p. 24",claude-opus-5 (batch F02),,likely overestimates population employment
gjerdalen2023_cohort_t60m_paidcomp__q3_sample_size,gjerdalen2023_cohort_t60m_paidcomp,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (2020, 9 items)",jbi3_sample_size,,yes,All 148 who entered are carried to the 5-year analysis. At an observed proportion of 0.22 the exact binomial 95 per cent interval is roughly 0.16 to 0.30.,"gjerdalen2023, Table 1 p. 26 and Results 3.2 p. 25",claude-opus-5 (batch F02),,
