report_id,field,old,new,reason
chan2020,eligibility_status,pending,include,"Adjudicated on the full text obtained 11 August 2026. Population, design and a 10-year employment outcome all qualify; it is eligible evidence that yields no usable count, which under D10.2 is include with report_quantifiable = no, not an exclusion."
chan2020,cohort_id,,hk_easy_2001,"TRIAGE HINT CONFIRMED FROM THE PAPER. The early intervention sample is the EASY 1 July 2001 to 30 June 2002 schizophrenia-spectrum cohort: same service, same window, same 148 identified, same 74.3% interview rate (N = 110), and chan2019 is cited as reference 22 for the same sample (Method, Samples, p. 492)."
chan2020,cohort_overlap_notes,LIKELY hk_easy_2001 (verify on receipt) ...,confirmed hk_easy_2001 plus a second cohort hk_standard_care_2000,"The report describes TWO separately recruited samples. The standard care group was recruited from a different service over a different window (1 July 2000 to 30 June 2001) and individually matched, so under D12.5 and codebook rule 11 it is a second cohort_id, not a subgroup arm. report_cohort_map.csv carries both rows."
chan2020,report_quantifiable,,no,"Employment is the stated outcome but is expressed as months per year, cluster memberships and means. A hierarchical-cluster membership is not a count of people employed at a timepoint. No numerator or denominator recoverable without an author request."
chan2019,report_quantifiable,,no,"Employment appears only as mean months of full-time employment and unemployment over the initial 3 years, used as predictors. Employment status was collected at the 10-year interview but never reported as a count or rate."
chan2022,report_quantifiable,,no,Employment appears only as mean months of employment and unemployment over 10 years by relapse group. No count at any timepoint.
chan2022,cohort_overlap_notes,"shares cohort with: chan2019, chang2016, chang2016b",describes hk_easy_2001 and hk_standard_care_2000; overlaps_with hk_easy_fep_2001_2003 (chang2016); no established relation to chang2016b,"chan2022 re-analyses the same 148 matched pairs as chan2020, so it describes two cohorts. chang2016 is a different, overlapping EASY sample and chang2016b is a later randomised trial, so neither shares a cohort_id with it."
chang2016,cohort_id,hk_easy_2001,hk_easy_fep_2001_2003,"MANIFEST REFUTED BY THE PAPER. This is a different recruited sample: 700 patients enrolled in EASY July 2001 to August 2003, of whom 515 had schizophrenia or first-episode mania with psychotic features and 420 completed 3-year follow-up. hk_easy_2001 is 148 schizophrenia-spectrum entrants of 1 July 2001 to 30 June 2002. Different recruitment window and different diagnostic inclusion, so a different cohort. Overlap with hk_easy_2001 is near certain and is recorded as overlaps_with so that results from the two are never pooled."
chang2016,report_quantifiable,,yes,"Table 1 prints sustained employment counts for both diagnostic subgroups (111 and 21). Quantifiable, though both results are blocked by conflict_status = unresolved and neither falls in a landmark horizon band."
chang2016b,cohort_id,hk_easy_2001,hk_easy_ext_rct,"MANIFEST REFUTED BY THE PAPER. This is a randomised controlled trial (n = 160; extended EI 82, step-down care 78) recruited from patients who had ALREADY COMPLETED the 2-year EASY programme, not the 2001-2002 EASY entrant cohort. Recruitment dates are not stated in this report and the service is described as five clinical teams against four for 2001-2002, so no shared recruitment era can be assumed."
chang2016b,report_quantifiable,,no,Employment appears only as one necessary component of the composite functional remission outcome (SOFAS and RFS thresholds AND competitive employment at both 6 and 12 months). Only the composite is counted (31/156); the employment component is never counted separately.
