report_id,field,old,new,reason
rodriguezpulido2021,report_quantifiable,,no,"Settled from the paper. Employment appears only as percentages of each randomised group (52.2% and 60.9% CR+IPS, 29.2% and 37.5% IPS-only; Results p. 307, Figure 3 p. 307). Table 4 (p. 308) prints means for jobs per individual, weekly hours and hourly wage but no employment count. Group denominators are printed, so a numerator would back-calculate to a whole number, which is precisely what extraction_v3 rule 1 forbids."
rodriguezpulido2021,notes,"percentages only, counts never printed; only 83% psychosis or bipolar","CONFIRMED on counts, QUALIFIED on diagnosis. Counts are indeed never printed. The '83%' needs correcting: the text states '83% F20-29 and 17% F31-F32.3' (p. 300), i.e. 83% have a NON-AFFECTIVE PSYCHOSIS diagnosis and the remaining 17% are affective disorders; the abstract's 'Sixty-five participants (83% with schizophrenia or bipolar disorder)' contradicts that and cannot be right if the two ICD blocks sum to 100%. Table 1 (p. 301) gives a third figure for the 47 analysed: 35 schizophrenia (74.5%), 7 bipolar, 4 personality disorder, 1 depression. perc_qualifying_diagnosis recorded as 83 (the paper's own F20-F29 figure) with the discrepancies logged. The D13 gate passes on any of the three readings, since all exceed 50%.",Triage note verified against the source; the diagnosis half of it is imprecise and the personality-disorder and depression cases in Table 1 are not admissible under the paper's own stated inclusion criteria.
shimada2022,report_quantifiable,,no,"Settled from the paper. The only work-related measure is the SFS employment/occupation subscale mean on a 0-10 scale (Table 2, p. 482). No participant is classified as employed or not employed anywhere in the report, so there is no numerator or denominator to recover, and no author reply could supply one without a re-analysis of raw item data."
shimada2022,notes,"SFS employment subscale mean score only, never a prevalence","CONFIRMED exactly. Baseline 1.81 (SD 2.46) and 1.87 (SD 1.96); five-year follow-up 4.46 (SD 2.20) and 2.46 (SD 2.36), range 0-10 (Table 2, p. 482). A subscale mean is not a proportion. One near-miss checked and rejected: Table 1 (pp. 479-480) prints 'Income, n (% yes)' 96 (94.12%) of 102, which is a count over a denominator, but 'income' there is an undefined demographic covering any source and is not offered as an employment measure.",Triage note verified against the source.
solmi2022,report_quantifiable,,no,"Settled from the paper. Employment appears only as percentages in Figure 1 (p. 942), including 19.5% at exactly one year after diagnosis and 25.1% at five years, with no count for any year. The figure footnote's N=21,551 is contradicted by the reported follow-up structure and cannot be used as the denominator. The one recoverable employment count in the report, 'Any income from work during previous calendar year' 7,634 of 21,551 (Table 1, p. 941), is a PRE-baseline moderator, not a follow-up result, and is recorded in n_employed_baseline."
solmi2022,notes,percentages only; disability-pension exclusion and censoring inflate later figures,"CONFIRMED and localised. Percentages only: Figure 1, p. 942. Disability-pension exclusion: 'We excluded people who were already on DP at first diagnosis (N=5,144)' (Methods, p. 940), recorded as arm-level analysis_selection_status = selected, reason analytic_restriction, on the mihaljevicpeles2016 precedent. Censoring: follow-up 'ended at death, emigration, DP, or the end of data linkage (December 31, 2016)' with accrual running to 2016 and median follow-up 4.8 years, so the figure's stated base cannot hold at years 1 to 5; recorded as conflict_status = unresolved on all three result rows.",Triage note verified against the source and given precise locations and a schema coding.
stouten2019,report_quantifiable,,no,"Settled from the paper. The only work-related measure is the PSP subscale 'Social useful activities including study and work', reported as a mean severity-of-problems score on a 0-4 range where higher means worse (Table 4, p. 651). No employment status is recorded for any participant."
stouten2019,notes,PSP work-and-study problem severity scores only,"CONFIRMED exactly. Table 4 (p. 651) gives 'Work and study' means of 2.39 to 2.11 (Dutch), 2.60 to 2.34 (second-generation) and 2.63 to 2.41 (first-generation) from baseline to 12 months on a 0-4 range. Additionally noted: the subscale covers socially useful activities INCLUDING study and work, so even a count would not have been paid employment; and the three migration groups are subgroup arms of one recruited sample of 162 under D12.5, not three cohorts.",Triage note verified against the source.
stralin2019,report_quantifiable,,yes,"Settled from the paper. Two counts on a common printed denominator at year 13: 67 of 161 with employment income above 100,000 SEK (Table 1 and Results 3.5, p. 378) and 86 of 161 with 'any income' (Results 3.5, p. 378). Quantifiable, though neither result can enter the primary pool: the first is threshold-defined and period-prevalent, the second is an undefined construct."
stralin2019,notes,"67/161 at 13y; annual income threshold, period prevalence not point","CONFIRMED and extended. 67 of 161 verified against Table 1 (p. 378, '42% (67 av 161)') and the running text. The income threshold is 100,000 SEK of employment income during the year (Methods, 2.3, p. 376), so the construct is paid_intensity_threshold under D12.3a, not paid_any, and the ascertainment is period prevalence over a 12-month window. EXTENSION: the same sentence also prints '86 cases (53%) had any income', a second count on the same denominator that the triage note does not mention. If 'any income' means any employment income it is the paid_any numerator for this cohort; the paper never defines it and the LISA register as the paper describes it also carries sickness benefits and student aid, so it is recorded with outcome_construct = unclear and an author query.","Triage note verified against the source and a second, previously unnoticed count recorded."
topor2019,report_quantifiable,,no,"Settled from the paper. Table 3 (p. 923) gives the proportion with salary income as percentages only, for two post-hoc subgroups (70% and 60% for the institutional recovery group, 53% and 27% for the ongoing institutionalisation group at years 1 and 10). No count appears in any of the table's 20 cells, and no salary figure of any kind is printed for the 364-person working-age follow-up group."
topor2019,notes,"percentages for two subgroups only, never the full working-age cohort","CONFIRMED exactly, and the gap is larger than the note implies. The two subgroups are 53 and 159 people (Table 1, p. 921), 212 of the 364-person working-age follow-up group; the other 152 are never described. The subgroups are also defined by service contact during the LAST FIVE YEARS of follow-up, a post-baseline variable, so they could not have entered the primary prevalence pool even with counts.",Triage note verified against the source.
