result_id,field,extracted_value,source_locator,extractor,extraction_date,batch_id,verifier,verified_date,verified_value,agreement,adjudication,notes
rodriguezpulido2021_crips_t8m_paidcomp,outcome_construct,paid_competitive,"Results, p. 307 ('More clients in the CR + IPS group worked at 8 and 12 months (52.2% and 60.9%, respectively) than IPS (29.2% and 37.5%, p = .023 and p = .025, respectively)'); Figure 3, p. 307; group denominators from Table 4 column headers, p. 308",claude-opus-5,2026-08-12,F12,,,,,,Construct assigned from the source's own definition quoted in outcome_verbatim.
rodriguezpulido2021_crips_t8m_paidcomp,ascertainment,any_time_during_followup,"Results, p. 307 ('More clients in the CR + IPS group worked at 8 and 12 months (52.2% and 60.9%, respectively) than IPS (29.2% and 37.5%, p = .023 and p = .025, respectively)'); Figure 3, p. 307; group denominators from Table 4 column headers, p. 308",claude-opus-5,2026-08-12,F12,,,,,,"Ascertainment read from the methods, not from the table heading."
rodriguezpulido2021_crips_t8m_paidcomp,followup_months,8,"Results, p. 307 ('More clients in the CR + IPS group worked at 8 and 12 months (52.2% and 60.9%, respectively) than IPS (29.2% and 37.5%, p = .023 and p = .025, respectively)'); Figure 3, p. 307; group denominators from Table 4 column headers, p. 308",claude-opus-5,2026-08-12,F12,,,,,,followup_basis = since_baseline
rodriguezpulido2021_crips_t8m_paidcomp,n_employed,,"Results, p. 307 ('More clients in the CR + IPS group worked at 8 and 12 months (52.2% and 60.9%, respectively) than IPS (29.2% and 37.5%, p = .023 and p = .025, respectively)'); Figure 3, p. 307; group denominators from Table 4 column headers, p. 308",claude-opus-5,2026-08-12,F12,,,,,,BLANK IS THE FINDING. No count is printed and none may be back-calculated from the printed percentage.
rodriguezpulido2021_crips_t8m_paidcomp,n_outcome_observed,23,"Results, p. 307 ('More clients in the CR + IPS group worked at 8 and 12 months (52.2% and 60.9%, respectively) than IPS (29.2% and 37.5%, p = .023 and p = .025, respectively)'); Figure 3, p. 307; group denominators from Table 4 column headers, p. 308",claude-opus-5,2026-08-12,F12,,,,,,Denominator established by the source as the group whose outcome was observed.
rodriguezpulido2021_crips_t8m_paidcomp,employment_selection_status,selected,"Methods, Study groups, p. 296",claude-opus-5,2026-08-12,F12,,,,,,Cohort-level recruitment gate (D9). Arm-level analysis_selection_status = selected (prior_employment_failure)
rodriguezpulido2021_crips_t12m_paidcomp,outcome_construct,paid_competitive,"Results, p. 307 ('More clients in the CR + IPS group worked at 8 and 12 months (52.2% and 60.9%, respectively) than IPS (29.2% and 37.5%, p = .023 and p = .025, respectively)'); Figure 3, p. 307; group denominators from Table 4 column headers, p. 308",claude-opus-5,2026-08-12,F12,,,,,,Construct assigned from the source's own definition quoted in outcome_verbatim.
rodriguezpulido2021_crips_t12m_paidcomp,ascertainment,any_time_during_followup,"Results, p. 307 ('More clients in the CR + IPS group worked at 8 and 12 months (52.2% and 60.9%, respectively) than IPS (29.2% and 37.5%, p = .023 and p = .025, respectively)'); Figure 3, p. 307; group denominators from Table 4 column headers, p. 308",claude-opus-5,2026-08-12,F12,,,,,,"Ascertainment read from the methods, not from the table heading."
rodriguezpulido2021_crips_t12m_paidcomp,followup_months,12,"Results, p. 307 ('More clients in the CR + IPS group worked at 8 and 12 months (52.2% and 60.9%, respectively) than IPS (29.2% and 37.5%, p = .023 and p = .025, respectively)'); Figure 3, p. 307; group denominators from Table 4 column headers, p. 308",claude-opus-5,2026-08-12,F12,,,,,,followup_basis = since_baseline
rodriguezpulido2021_crips_t12m_paidcomp,n_employed,,"Results, p. 307 ('More clients in the CR + IPS group worked at 8 and 12 months (52.2% and 60.9%, respectively) than IPS (29.2% and 37.5%, p = .023 and p = .025, respectively)'); Figure 3, p. 307; group denominators from Table 4 column headers, p. 308",claude-opus-5,2026-08-12,F12,,,,,,BLANK IS THE FINDING. No count is printed and none may be back-calculated from the printed percentage.
rodriguezpulido2021_crips_t12m_paidcomp,n_outcome_observed,23,"Results, p. 307 ('More clients in the CR + IPS group worked at 8 and 12 months (52.2% and 60.9%, respectively) than IPS (29.2% and 37.5%, p = .023 and p = .025, respectively)'); Figure 3, p. 307; group denominators from Table 4 column headers, p. 308",claude-opus-5,2026-08-12,F12,,,,,,Denominator established by the source as the group whose outcome was observed.
rodriguezpulido2021_crips_t12m_paidcomp,employment_selection_status,selected,"Methods, Study groups, p. 296",claude-opus-5,2026-08-12,F12,,,,,,Cohort-level recruitment gate (D9). Arm-level analysis_selection_status = selected (prior_employment_failure)
rodriguezpulido2021_ipsonly_t8m_paidcomp,outcome_construct,paid_competitive,"Results, p. 307 ('More clients in the CR + IPS group worked at 8 and 12 months (52.2% and 60.9%, respectively) than IPS (29.2% and 37.5%, p = .023 and p = .025, respectively)'); Figure 3, p. 307; group denominators from Table 4 column headers, p. 308",claude-opus-5,2026-08-12,F12,,,,,,Construct assigned from the source's own definition quoted in outcome_verbatim.
rodriguezpulido2021_ipsonly_t8m_paidcomp,ascertainment,any_time_during_followup,"Results, p. 307 ('More clients in the CR + IPS group worked at 8 and 12 months (52.2% and 60.9%, respectively) than IPS (29.2% and 37.5%, p = .023 and p = .025, respectively)'); Figure 3, p. 307; group denominators from Table 4 column headers, p. 308",claude-opus-5,2026-08-12,F12,,,,,,"Ascertainment read from the methods, not from the table heading."
rodriguezpulido2021_ipsonly_t8m_paidcomp,followup_months,8,"Results, p. 307 ('More clients in the CR + IPS group worked at 8 and 12 months (52.2% and 60.9%, respectively) than IPS (29.2% and 37.5%, p = .023 and p = .025, respectively)'); Figure 3, p. 307; group denominators from Table 4 column headers, p. 308",claude-opus-5,2026-08-12,F12,,,,,,followup_basis = since_baseline
rodriguezpulido2021_ipsonly_t8m_paidcomp,n_employed,,"Results, p. 307 ('More clients in the CR + IPS group worked at 8 and 12 months (52.2% and 60.9%, respectively) than IPS (29.2% and 37.5%, p = .023 and p = .025, respectively)'); Figure 3, p. 307; group denominators from Table 4 column headers, p. 308",claude-opus-5,2026-08-12,F12,,,,,,BLANK IS THE FINDING. No count is printed and none may be back-calculated from the printed percentage.
rodriguezpulido2021_ipsonly_t8m_paidcomp,n_outcome_observed,24,"Results, p. 307 ('More clients in the CR + IPS group worked at 8 and 12 months (52.2% and 60.9%, respectively) than IPS (29.2% and 37.5%, p = .023 and p = .025, respectively)'); Figure 3, p. 307; group denominators from Table 4 column headers, p. 308",claude-opus-5,2026-08-12,F12,,,,,,Denominator established by the source as the group whose outcome was observed.
rodriguezpulido2021_ipsonly_t8m_paidcomp,employment_selection_status,selected,"Methods, Study groups, p. 296",claude-opus-5,2026-08-12,F12,,,,,,Cohort-level recruitment gate (D9). Arm-level analysis_selection_status = selected (prior_employment_failure)
