report_id,field,old,new,reason
tsiachristas2016,notes,probability ratio only; denominator restricted to those unemployed at baseline,"probability ratio only (CONFIRMED: Table 3, p. 5 prints probability ratios, standard errors and confidence intervals and no count anywhere, so report_quantifiable = no); the denominator restriction is CONFIRMED AS THE STATED DEFINITION but REFUTED AS THE ANALYSIS ACTUALLY PERFORMED: the Methods define the outcome as 'the proportion of those unemployed at start of follow-up who became employed during follow-up' (p. 3), while the printed complete-case n of 1801 (Table 5, p. 7) exceeds the roughly 1,380 who could be both not-employed at baseline and have a baseline record, given the 48.6 and 51.0 per cent missing in Table 1; both results are therefore conflict_status = unresolved; the restriction is ANALYSIS-LEVEL, not recruitment: the cohort takes employment_selection_status = none (identification is by ICD-10 code, care cluster, HONOS item 6, age 16-35 and an observed HONOS score, with no employment criterion) and the arms take analysis_selection_status = selected with reason analytic_restriction; ADD: followup_basis = calendar_end_common. The outcome is the 'earliest recorded to latest recorded' change inside one shared April 2010 to March 2013 window, so elapsed follow-up varies between individuals and is never printed, and the result is barred from every landmark horizon under D12.8.","CONFIRMED in part and REFUTED in part. The note's first clause is exactly right. Its second clause describes the authors' stated definition, which the paper's own complete-case denominators contradict, so recording the restriction without recording the contradiction would have left a definition-based description of an analysis that was evidently not run that way. The distinction the note does not make, and which decides the population gate, is between the COHORT (not employment-selected) and the ANALYSED DENOMINATOR (restricted on baseline employment); the schema records those in two different places and both are now filled."
turner2019,notes,very small n=34; IPS offered only to the 21 unoccupied at baseline,"n = 34 CONFIRMED as the followed-up denominator, of 39 consenters (the Results and Discussion say 38, the Abstract and the sample description say 39, and the printed 87 per cent follow-up matches 34/39); 'IPS offered only to the 21 unoccupied at baseline' CONFIRMED AS INTERVENTION ASSIGNMENT but this is NOT the analysed denominator of the main results: the two-pronged design gave IPS to the 21 without a productive role and a job-retention programme to the 18 who had one, and the headline results (25 of 34 in a productive role at T2; 21, 9 and 27 of 34 for participation) sit on the whole followed-up sample. Only the attainment result is denominator-restricted, to the 16 unoccupied at T1 who were followed up, and it is carried on a separate subgroup arm with analysis_selection_status = selected / analytic_restriction; the COHORT-level selection is vocational_service_entry, not baseline employment status: entry required internal referral to the supported employment specialist, acceptance and use of a vocational intervention, and consent (129 offered, 61 used, 39 consented); ADD: EVERY extracted result is conflict_status = unresolved. The Abstract prints 10 attaining a productive role against the Results' 8; the participation counts fail inclusion-exclusion (21 + 9 - 4 = 26 against a printed 27); the sample is 38 in two places and 39 in three; and the IPS engagement total is printed as 86 while its own components and Table I give 84; ADD: followup_basis = unclear. The mean follow-up is 18 months with SD 12 and range 2 to 44, no schedule is stated and no common end date is stated, so the timepoint cannot be assigned to any horizon.","CONFIRMED and materially extended. The note is right about the size and about who was offered IPS, but it invites the reading that the analysed denominator was the 21 unoccupied, which would have put an analytic restriction on the wrong rows and lost the whole-sample results. The larger finding the note could not have had is that this report contradicts itself in four separate places, which blocks all five of its results from every synthesis under rule 10 and D12.3d."
xu2020,notes,23/62 at mean 10.4y; outcomes by telephone interview of relatives not patients,"23/62 CONFIRMED ('Thirty-four (55%), 23 (37%) and 5 (8%) respectively were unemployed, currently employed and currently in school'); the categories are exhaustive and sum exactly to 62, the 65 interviewed minus the 3 who had died, so 62 is an OBSERVED denominator and not a reporting base; proxy report CONFIRMED and quantified: 'The primary informant was a parent, the patient themselves, and another family member for 59, 3, and 3 subjects respectively', and this is recorded as an ascertainment-quality judgement (jbi7_condition_measurement = no) and NOT as a reason to discard the count; 'mean 10.4y' CONFIRMED as printed, but the inference the triage note draws from it is REFUTED: followup_basis = since_baseline with followup_months = 125, so this result IS assigned to the 10-year-or-more horizon. D12.3b concerns a mean time since ONSET or a fixed chronological age and neither applies, since the anchor is hospitalisation in 2006; D12.8 requires one shared calendar end date, which this report nowhere states; and the SD is 0.3 years, so every plausible individual follow-up lies inside the 108-months-and-above band and no cohort is placed in a band on the strength of an average; ADD: this is the ONLY result in F13 that passes every primary-pool gate (employment_selection_status = none, arm_type = cohort, point prevalence, paid_any, schizophrenia, n_employed and n_outcome_observed both present). It requires human verification of two fields before it is relied on: followup_basis and the paid_any construct; ADD, minor: 686.8 person-years is not reproducible from 65 subjects at a mean of 10.4 years (which gives 676); it implies a mean of 10.57 and the discrepancy is unexplained. Does not affect the employment result.","CONFIRMED on both counts of fact and REFUTED on the follow-up inference the note invites. The refutation is the most consequential decision in F13 and is deliberately flagged rather than buried: coding calendar_end_common would have barred the batch's only poolable result from the only horizon it could occupy, on a trigger (a shared end date) that the report does not state. The counter-argument, that a single interview campaign would reproduce exactly the observed SD, is recorded in the row notes and in unresolved_queries.md Q6 so that a checker can overturn the decision by changing one field."
yamaguchi2020,notes,CRITICAL SELECTION clients newly entering employment services; only 51 of 93 analysed,"CRITICAL SELECTION CONFIRMED and quoted: 'The eligibility criteria were as follows: clients who were receiving employment services for the first time in each agency; had been diagnosed as having schizophrenia on the basis of the ICD-10; and were between ages 20 and 60 years' (Methods, Participants, p. 474). Entry to a vocational service is the first eligibility criterion, so employment_selection_status = selected with reason vocational_service_entry and the cohort cannot enter the primary pool; 51 of 93 CONFIRMED, with the denominator question answered: 93 is NEITHER a reporting base NOR an observed denominator. It is a count of clients meeting the eligibility criteria; no printed percentage divides by it and no outcome was observed for all 93. The reporting base and the observed denominator coincide at 29 (low fidelity) and 22 (high fidelity), on which every printed percentage reproduces exactly. n_entered is left blank because the report never says how many of the 93 consented and entered, and the flow diagram is in an online supplement not held; the 42 unaccounted-for clients are why analysis_selection_status = unclear with reason incomplete_reporting; ADD, and independent of the selection: the construct is paid_competitive, defined as 'working at least 1 day a month at minimum wage or more' and evidenced by an employment contract, and the ascertainment is cumulative ('N of people who worked / During the past 12 months'), so the result fails the construct gate and the ascertainment gate as well as the population gate; ADD: job retention is reported (13 of 22 high-fidelity and 6 of 29 low-fidelity maintained the initial job for 1 year after starting work) but is anchored to each individual's job start and extends beyond the 12-month follow-up; it is recorded narratively in the row notes because the schema has no job-tenure construct.","CONFIRMED in full, with the note's implicit denominator question answered explicitly. Recording 93 in any denominator field would have been the error the note was warning about; it belongs in prose, and what belongs in the denominator fields is 29 and 22. Two further gate failures are added because the note's emphasis on selection could leave the impression that selection is the only thing keeping this cohort out."
zhang2017,notes,CRITICAL SELECTION unemployed and desire to work; cumulative employment not point prevalence,"CRITICAL SELECTION CONFIRMED and quoted, with BOTH triggers present in one criteria list: '(3) unemployed status ... and (7) a desire to work' (Method, Participants, p. 7106165020p2). employment_selection_reason takes a single value and records baseline_employment_status; the verbatim carries both, and the arm rows carry baseline_unemployed_required = yes and baseline_wants_work_required = yes; cumulative employment CONFIRMED: 'The cumulative employment rate at different follow-up periods was also reported', so ascertainment = any_time_during_followup and no point-prevalence count is printed at any timepoint; ADD: the construct is paid_intensity_threshold, not paid_competitive and not paid_any. 'Those who had continuously held competitive employment at least 20 hr/wk for 2 mo or longer were considered employed', so anyone working fewer hours or for a shorter spell counts as not employed and the number in any competitive employment is bounded only by 34 <= x <= 54 (ISE), 27 <= x <= 54 (IPS) and 18 <= x <= 54 (TVR); ADD: n_outcome_observed is NOT recoverable. The report prints no attrition figure of any kind, stating only that 'The participants (n = 162) were subject to intent-to-treat analyses on employment rate ... The drop-out cases were also included', so 54 is recorded as n_entered and reported_percentage_base with denominator_basis = entered, and the row cannot enter the intervention count model without an author reply; ADD: risk of bias is HIGH under RoB 2, on missing outcome data and on selection of the reported result. Registration (NCT03273530) postdates the 2013-2015 trial; the p = .002 printed for ISE versus IPS is not reproducible from 34/54 against 27/54; and the text claims the ISE group had 'significantly higher scores on the BPRS' when Table 2 shows it lowest at every follow-up.","CONFIRMED exactly, on both clauses, and extended with three facts that change how the result may be used. The threshold definition matters most: taken at face value 34/54 would read as 63 per cent in competitive employment, when it is 63 per cent sustaining 20 hours a week for two months at some point in 15 months."
tsiachristas2016,report_quantifiable,,no,"D10.2 requires report_quantifiable to be filled from the paper at the Stage F re-read rather than left blank. tsiachristas2016 is the only report in F13 with NO recoverable numerator or denominator: employment appears solely as a propensity-weighted probability ratio (Table 3, p. 5) and as baseline percentages against a base that includes a 48.6 per cent missing category (Table 1, p. 3). Its loss belongs at the numerator/denominator gate and in the missing-evidence assessment, not at the report filter."
turner2019,report_quantifiable,,yes,"D10.2 requires report_quantifiable to be filled from the paper at the Stage F re-read rather than left blank. This report prints at least one numerator with its denominator and no back-calculation was needed. Two qualifications that do not make a report unquantifiable: all five of turner2019's rows are numerically complete but blocked by conflict_status = unresolved, and zhang2017's denominator of 54 is an intent-to-treat reporting base with n_outcome_observed unrecoverable."
xu2020,report_quantifiable,,yes,"D10.2 requires report_quantifiable to be filled from the paper at the Stage F re-read rather than left blank. This report prints at least one numerator with its denominator and no back-calculation was needed. Two qualifications that do not make a report unquantifiable: all five of turner2019's rows are numerically complete but blocked by conflict_status = unresolved, and zhang2017's denominator of 54 is an intent-to-treat reporting base with n_outcome_observed unrecoverable."
yamaguchi2020,report_quantifiable,,yes,"D10.2 requires report_quantifiable to be filled from the paper at the Stage F re-read rather than left blank. This report prints at least one numerator with its denominator and no back-calculation was needed. Two qualifications that do not make a report unquantifiable: all five of turner2019's rows are numerically complete but blocked by conflict_status = unresolved, and zhang2017's denominator of 54 is an intent-to-treat reporting base with n_outcome_observed unrecoverable."
zhang2017,report_quantifiable,,yes,"D10.2 requires report_quantifiable to be filled from the paper at the Stage F re-read rather than left blank. This report prints at least one numerator with its denominator and no back-calculation was needed. Two qualifications that do not make a report unquantifiable: all five of turner2019's rows are numerically complete but blocked by conflict_status = unresolved, and zhang2017's denominator of 54 is an intent-to-treat reporting base with n_outcome_observed unrecoverable."
