cohort_id,arm_id,arm_type,analysis_selection_status,analysis_selection_reason,intervention_name,intervention_description,cluster_randomised,n_clusters,icc_reported,baseline_unemployed_required,baseline_wants_work_required,all_original_arms_included,post_randomisation_selection,employment_targeted_intervention,common_construct_across_arms,selective_reweighting,n_entered
oxford_ahsn,eip,intervention,selected,analytic_restriction,Early intervention in psychosis (EIP) service,"Standalone community multidisciplinary EIP teams operating to IRIS guidelines: client-to-care-coordinator ratio 1:15, weekly contact, psychological and family therapy delivered within the team, 3 years of treatment. Allocation is by home address, since only 6 of the 12 clinical commissioning groups funded an EIP service; there is no randomisation. ANALYSIS-LEVEL SELECTION, recorded here and NOT at cohort level: the employment result is 'the proportion of those unemployed at start of follow-up who became employed during follow-up' (Methods, p. 3), so the analysed denominator, not the recruitment, is restricted on baseline employment. The cohort itself carries no employment-related recruitment criterion and is coded employment_selection_status = none.",no,,,no,no,,,,,,831
oxford_ahsn,non_eip,control_tau,selected,analytic_restriction,,"Standard community mental health team care: caseload per care coordinator at least 1:30, psychological and family therapy only after referral to a separate service with a waiting list of several months, treatment for the duration of the acute illness (6-9 months for first-episode psychosis) and then discharge. No vocational component is described. Same analysis-level restriction to those unemployed at the start of follow-up as the EIP arm.",no,,,no,no,,,,,,2843
detect_dublin,cohort,cohort,none,not_applicable,"Two-pronged vocational intervention: individual placement and support (IPS) with supported education, or the Workplace Fundamentals Module job-retention programme","Whole consenting sample of EIPS clients who used a vocational intervention; no allocation, the occupational therapist decided which prong applied. IPS for those without a productive role, the 8-week group Workplace Fundamentals Module for those with one; 21 used IPS alone, 9 WFM alone and 9 both. The analysed denominator of 34 is everyone followed up and carries no employment-related restriction, so analysis_selection_status = none: the loss of 5 is attrition (D12.3c), not selection. The employment-related selection is at COHORT level (entry into the vocational service). employment_targeted_intervention = yes, so this whole-cohort row cannot enter the prevalence intercept under SAP section 2.1 even if the cohort gate were passed.",no,,,no,unclear,not_applicable,not_applicable,yes,not_applicable,not_applicable,
detect_dublin,unoccupied_t1,subgroup,selected,analytic_restriction,Individual placement and support (IPS) with supported education,"Post-hoc split of the single recruited sample by baseline vocational status, not a separately recruited group and not an allocated arm (D12.5). 21 of the 39 consenters were unoccupied at baseline and were offered IPS; 16 of those 21 were followed up and form the denominator of the attainment result. The restriction is on baseline employment status and attaches to the analysed denominator, which is why it is recorded here rather than at cohort level.",no,,,yes,unclear,,,,,,21
pku_beijing,cohort,cohort,none,not_applicable,,"Whole consecutively enrolled cohort of under-18 admissions with an ICD-10 discharge diagnosis of schizophrenia in 2006, followed to a single interview about 10 years later under routine care; no allocation and no study intervention. The analysed denominator of 62 is the surviving interviewees; the 53 not interviewed were lost to follow-up (48 discontinued phone numbers, 5 refusals), which is attrition and not an employment-related restriction (D12.3c).",no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,118
jisef_japan,low_fidelity,subgroup,unclear,incomplete_reporting,"Supported employment programmes scoring below the JiSEF 90/91 cut-off (mean 80.1, SD 6.5; 7 programmes)","Non-randomised subgroup: participants are grouped by the fidelity score of the agency they had already entered, not by any allocation, so arm_type = subgroup rather than control_active. Services were heavily weighted to agency-based group work (83 per cent of service hours). analysis_selection_status = unclear because 93 clients met the inclusion criteria during the recruitment window and only 51 were analysed, with no explanation in the article text; the flow diagram that would say why is in an online supplement not held, so absence of a further employment-related restriction on the analysed denominator cannot be established (silence is not evidence of absence).",no,7,,no,no,,,,,,
jisef_japan,high_fidelity,subgroup,unclear,incomplete_reporting,"Supported employment programmes scoring at or above the JiSEF 90/91 cut-off (mean 100.8, SD 5.3; 6 programmes)","Non-randomised subgroup defined by agency fidelity score, not by allocation. Services were balanced across outreach (29 per cent), agency-based individual (36 per cent) and agency-based group services (32 per cent), with more outreach job development before a job was obtained. Same unexplained 51-of-93 analysed denominator as the low-fidelity arm.",no,6,,no,no,,,,,,
wuxi_ise_rct,ise,intervention,none,not_applicable,Integrated supported employment (ISE): IPS plus a 10-session work-related social skills training programme,"IPS delivered to the eight implementation principles, plus the manualised 10-session work-related social skills training programme in the first 3 months before job seeking, plus follow-up generalisation support. Fidelity 64-67 of 75 (85-89 per cent). The analysed denominator is the whole randomised arm under intent-to-treat, so no further analytic restriction applies; the employment-related selection (unemployed at entry and a desire to work) is at cohort level.",no,,,yes,yes,,,,,,54
wuxi_ise_rct,ips,control_active,none,not_applicable,Individual placement and support (IPS),"Job development and placement, ongoing work support, coordination of vocational services with multidisciplinary teams, indefinite services and participant job choice, delivered by the same three employment specialists as the ISE arm. Fidelity 65-68 of 75 (87-91 per cent). An active vocational comparator, not treatment as usual.",no,,,yes,yes,,,,,,54
wuxi_ise_rct,tvr,control_active,none,not_applicable,Traditional vocational rehabilitation (TVR),"Comprehensive vocational assessment, situational assessment with the Workshop Behavior Checklist and prevocational training for later upgrading to competitive employment, provided by mental health centre staff delivering sheltered vocational training. An active vocational comparator ('train then place'), so control_active rather than control_tau.",no,,,yes,yes,,,,,,54
