rob_assessment_id,result_id,rob_tool,rob_tool_version,domain,signalling_responses,judgement,rationale,source_location,assessor,checker,bias_direction
F08_greenwood2025_eye2_t12m_vocact_rob2_1_randomisation,greenwood2025_eye2_t12m_vocact,rob2,"Cochrane RoB 2 (Sterne et al., 2019), effect of assignment to intervention",rob2_1_randomisation,,some_concerns,"Twenty consenting EIP teams were allocated 1:1 online through Sealed Envelope with a randomly generated sequence produced by the Brighton and Sussex Clinical Trials Unit, permuted blocks of length 2, stratified by site, so the sequence generation and concealment are adequate at cluster level. Two cluster-specific concerns remain. Participants were identified after their team was allocated, from consecutive referrals, which leaves scope for identification bias, and the arms came out markedly unequal in size (652 versus 375 from 11 versus 9 teams). Baseline characteristics were 'relatively well balanced' but deprivation and non-White ethnicity were higher and educational attainment lower in the EYE-2 arm.","Method, Study design and Randomisation and masking, p. 145; Results, p. 146; Table 1, p. 148",claude-opus-5,,
F08_greenwood2025_eye2_t12m_vocact_rob2_2_deviations,greenwood2025_eye2_t12m_vocact,rob2,"Cochrane RoB 2 (Sterne et al., 2019), effect of assignment to intervention",rob2_2_deviations,,some_concerns,"Analysis followed intention-to-treat principles and the comparison is of assignment rather than adherence, which is appropriate. Delivery, however, fell well short of plan: expected fidelity was a score of 3 or above but median scores were 2 to 2.3 out of 4, only 7 of 11 teams reached 3 or more, fidelity fell from early to late intervention in 83% of teams, and 12 to 16 months of the intervention period ran during COVID-19, which stopped social engagement entirely and restricted the goal-focused alliance. Both arms also delivered NICE-recommended vocational interventions as part of standard care, so the contrast on a socio-occupational outcome is narrower than the labels suggest.","Results, IPS fidelity paragraph, p. 149; Discussion, p. 150; Method, Procedures, p. 145",claude-opus-5,,
F08_greenwood2025_eye2_t12m_vocact_rob2_3_missing_outcome_data,greenwood2025_eye2_t12m_vocact,rob2,"Cochrane RoB 2 (Sterne et al., 2019), effect of assignment to intervention",rob2_3_missing_outcome_data,,high,"This is the dominant problem for this result. Socio-occupational data were collected only from the 232 of 1027 participants (22.6%) who consented to the societal cost-effectiveness interview: 456 did not consent and 339 were lost to follow-up or not approached. The estimate comes from multiple imputation over that base, and the authors themselves say the findings 'must be viewed cautiously as only 22% consented to provide data'. The consenting subsample was demonstrably unrepresentative, with a higher proportion of White ethnicity (59.7%) and fewer males (59.5%) than the whole sample. For the secondary outcomes analysed in the same way the report states that conclusions 'were not robust to departures from the missing-at-random assumption'.","Results, p. 149; Discussion and Limitations, p. 150; Supplementary information pp. 16-19 as cited at Results, p. 146",claude-opus-5,,
F08_greenwood2025_eye2_t12m_vocact_rob2_4_outcome_measurement,greenwood2025_eye2_t12m_vocact,rob2,"Cochrane RoB 2 (Sterne et al., 2019), effect of assignment to intervention",rob2_4_outcome_measurement,,some_concerns,"Days in employment were collected retrospectively at 12 months with the Adult Service Use Schedule by research assistants masked to group allocation, which protects against assessor bias. The measure is nonetheless participant-recalled over a full year, so error is likely to be substantial for a day-count, and no reliability or validation evidence is given for this component of the schedule. Masking of participants was not possible in a pragmatic engagement trial.","Method, Outcomes, p. 145",claude-opus-5,,
F08_greenwood2025_eye2_t12m_vocact_rob2_5_selective_reporting,greenwood2025_eye2_t12m_vocact,rob2,"Cochrane RoB 2 (Sterne et al., 2019), effect of assignment to intervention",rob2_5_selective_reporting,,some_concerns,"The trial was registered prospectively (ISRCTN51629746) and the protocol, statistical analysis plan and health economic analysis plan were all published before the end of data collection, which is strong practice. Against that, Table 2 reports only an adjusted mean difference, a confidence interval and a bootstrap 'probability mean days higher for intervention participants', with no arm-specific means, no counts and no p-value, so the reader cannot reconstruct the underlying distribution; and the SAP's prespecified Cox model with shared frailty and permutation test was replaced by a simpler model on the ground that clustering was negligible, a change decided after the data were seen.","Method, Study design, p. 144 and Statistical analysis, p. 146; Table 2, p. 149",claude-opus-5,,
F08_greenwood2025_eye2_t12m_vocact_rob2_overall,greenwood2025_eye2_t12m_vocact,rob2,"Cochrane RoB 2 (Sterne et al., 2019), effect of assignment to intervention",rob2_overall,,high,"High, driven by the missing outcome data domain: a 22.6% consenting subsample, imputed, with demonstrated differences from the whole sample. The randomisation, deviations, measurement and reporting domains each raise some concerns. The result is in any case an adjusted difference in mean days with no numerator or denominator, so it cannot enter a count model whatever its risk of bias.","Results, p. 149; Discussion, p. 150",claude-opus-5,,
F08_greenwood2025_eye2_t12m_edutrain_rob2_1_randomisation,greenwood2025_eye2_t12m_edutrain,rob2,"Cochrane RoB 2 (Sterne et al., 2019), effect of assignment to intervention",rob2_1_randomisation,,some_concerns,"Twenty consenting EIP teams were allocated 1:1 online through Sealed Envelope with a randomly generated sequence produced by the Brighton and Sussex Clinical Trials Unit, permuted blocks of length 2, stratified by site, so the sequence generation and concealment are adequate at cluster level. Two cluster-specific concerns remain. Participants were identified after their team was allocated, from consecutive referrals, which leaves scope for identification bias, and the arms came out markedly unequal in size (652 versus 375 from 11 versus 9 teams). Baseline characteristics were 'relatively well balanced' but deprivation and non-White ethnicity were higher and educational attainment lower in the EYE-2 arm.","Method, Study design and Randomisation and masking, p. 145; Results, p. 146; Table 1, p. 148",claude-opus-5,,
F08_greenwood2025_eye2_t12m_edutrain_rob2_2_deviations,greenwood2025_eye2_t12m_edutrain,rob2,"Cochrane RoB 2 (Sterne et al., 2019), effect of assignment to intervention",rob2_2_deviations,,some_concerns,"Analysis followed intention-to-treat principles and the comparison is of assignment rather than adherence, which is appropriate. Delivery, however, fell well short of plan: expected fidelity was a score of 3 or above but median scores were 2 to 2.3 out of 4, only 7 of 11 teams reached 3 or more, fidelity fell from early to late intervention in 83% of teams, and 12 to 16 months of the intervention period ran during COVID-19, which stopped social engagement entirely and restricted the goal-focused alliance. Both arms also delivered NICE-recommended vocational interventions as part of standard care, so the contrast on a socio-occupational outcome is narrower than the labels suggest.","Results, IPS fidelity paragraph, p. 149; Discussion, p. 150; Method, Procedures, p. 145",claude-opus-5,,
F08_greenwood2025_eye2_t12m_edutrain_rob2_3_missing_outcome_data,greenwood2025_eye2_t12m_edutrain,rob2,"Cochrane RoB 2 (Sterne et al., 2019), effect of assignment to intervention",rob2_3_missing_outcome_data,,high,"This is the dominant problem for this result. Socio-occupational data were collected only from the 232 of 1027 participants (22.6%) who consented to the societal cost-effectiveness interview: 456 did not consent and 339 were lost to follow-up or not approached. The estimate comes from multiple imputation over that base, and the authors themselves say the findings 'must be viewed cautiously as only 22% consented to provide data'. The consenting subsample was demonstrably unrepresentative, with a higher proportion of White ethnicity (59.7%) and fewer males (59.5%) than the whole sample. For the secondary outcomes analysed in the same way the report states that conclusions 'were not robust to departures from the missing-at-random assumption'.","Results, p. 149; Discussion and Limitations, p. 150; Supplementary information pp. 16-19 as cited at Results, p. 146",claude-opus-5,,
F08_greenwood2025_eye2_t12m_edutrain_rob2_4_outcome_measurement,greenwood2025_eye2_t12m_edutrain,rob2,"Cochrane RoB 2 (Sterne et al., 2019), effect of assignment to intervention",rob2_4_outcome_measurement,,some_concerns,"Days in employment were collected retrospectively at 12 months with the Adult Service Use Schedule by research assistants masked to group allocation, which protects against assessor bias. The measure is nonetheless participant-recalled over a full year, so error is likely to be substantial for a day-count, and no reliability or validation evidence is given for this component of the schedule. Masking of participants was not possible in a pragmatic engagement trial.","Method, Outcomes, p. 145",claude-opus-5,,
F08_greenwood2025_eye2_t12m_edutrain_rob2_5_selective_reporting,greenwood2025_eye2_t12m_edutrain,rob2,"Cochrane RoB 2 (Sterne et al., 2019), effect of assignment to intervention",rob2_5_selective_reporting,,some_concerns,"The trial was registered prospectively (ISRCTN51629746) and the protocol, statistical analysis plan and health economic analysis plan were all published before the end of data collection, which is strong practice. Against that, Table 2 reports only an adjusted mean difference, a confidence interval and a bootstrap 'probability mean days higher for intervention participants', with no arm-specific means, no counts and no p-value, so the reader cannot reconstruct the underlying distribution; and the SAP's prespecified Cox model with shared frailty and permutation test was replaced by a simpler model on the ground that clustering was negligible, a change decided after the data were seen.","Method, Study design, p. 144 and Statistical analysis, p. 146; Table 2, p. 149",claude-opus-5,,
F08_greenwood2025_eye2_t12m_edutrain_rob2_overall,greenwood2025_eye2_t12m_edutrain,rob2,"Cochrane RoB 2 (Sterne et al., 2019), effect of assignment to intervention",rob2_overall,,high,"High, driven by the missing outcome data domain: a 22.6% consenting subsample, imputed, with demonstrated differences from the whole sample. The randomisation, deviations, measurement and reporting domains each raise some concerns. The result is in any case an adjusted difference in mean days with no numerator or denominator, so it cannot enter a count model whatever its risk of bias.","Results, p. 149; Discussion, p. 150",claude-opus-5,,
