cohort_id,arm_id,arm_type,analysis_selection_status,analysis_selection_reason,intervention_name,intervention_description,cluster_randomised,n_clusters,icc_reported,baseline_unemployed_required,baseline_wants_work_required,all_original_arms_included,post_randomisation_selection,employment_targeted_intervention,common_construct_across_arms,selective_reweighting,n_entered
eye2_trial,eye2,intervention,none,not_applicable,"EYE-2 (Early Youth Engagement, version 2) plus standardised EIP","Team-based motivational engagement intervention delivered over the whole follow-up alongside standardised EIP, addressing engagement through a motivational therapeutic alliance focused on patient treatment goals, broad systemic social support, and psychoeducation using the EYE-2 booklet series and website. Not an employment intervention, although its goal-focused alliance can encompass socio-occupational goals.",yes,11,,no,no,not_applicable,no,no,yes,not_applicable,652
eye2_trial,seip,control_tau,none,not_applicable,Standardised stand-alone early intervention in psychosis (sEIP),"Standardised stand-alone EIP comprising early detection, assertive engagement, work with diagnostic uncertainty, positive risk-taking, person, family and recovery focus, and NICE-recommended medication, cognitive-behavioural, family, physical and vocational interventions. Note that vocational interventions are part of standard care in BOTH arms.",yes,9,,no,no,not_applicable,no,no,yes,not_applicable,375
dk_registers_birth,cohort,cohort,none,not_applicable,,Whole-population register cohort under usual Danish health and welfare provision; no allocation and no study intervention.,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,9448
fi_registers_scz,cohort,cohort,none,not_applicable,,Whole national register cohort of first hospitalisations for schizophrenia under usual Finnish health and welfare provision; no allocation and no study intervention.,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,6939
fi_registers_nonaff,cohort,cohort,none,not_applicable,,Whole national register cohort of first hospitalisations for other nonaffective psychosis under usual Finnish health and welfare provision; no allocation and no study intervention.,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,34565
hk_jcep_2009,ei_analysed,subgroup,none,not_applicable,"Early intervention (JCEP), 2 or 4 years","The two early-intervention allocations of the JCEP trial merged: 2 years of EI followed by 2 years of standard care (n = 120) and 4 years of EI (n = 120). The third allocation, 4 years of standard care (n = 120), was excluded from the analysis. This is a post-randomisation selection on treatment received, so the 240 is NOT a whole recruited cohort and cannot enter the prevalence intercept (SAP 2.1). arm_type is subgroup rather than intervention because the unit merges two distinct allocations.",no,,,no,no,no,yes,no,yes,no,240
vivantes_berlin_rct,ips,intervention,none,not_applicable,"Individual Placement and Support (IPS-Y) plus adherence therapy, added to standard care","12-month IPS delivered to IPS-Y fidelity (rated 88 to 104 of 125 over the trial), with an add-on of up to eight adherence therapy sessions based on motivational interviewing integrated into the IPS meetings. Explicitly an employment, education and training intervention.",no,,,no,yes,not_applicable,no,yes,yes,not_applicable,56
vivantes_berlin_rct,tau,control_tau,none,not_applicable,Treatment as usual in an outpatient psychiatric service,"Individually tailored care in a low-threshold interdisciplinary outpatient mental health service for young adults aged 16-35, combining medication, psychoeducation, psychological therapies, family intervention, social work and general support. Social workers and counselling staff refer patients to traditional vocational rehabilitation programmes, so the control arm has a vocational pathway although not IPS.",no,,,no,yes,not_applicable,no,no,yes,not_applicable,54
vivantes_berlin_rct,ips_edu,subgroup,selected,analytic_restriction,"Individual Placement and Support (IPS-Y) plus adherence therapy, education/training subsample","The IPS arm restricted to the education/training subsample. Section 3.4 defines the subsample as 'Excluding all participants who never received education or training during the follow-up period', which is a restriction on an outcome-related event occurring after randomisation, so the comparison with tau_edu is no longer protected by randomisation.",no,,,unclear,yes,not_applicable,yes,yes,yes,not_applicable,25
vivantes_berlin_rct,tau_edu,subgroup,selected,analytic_restriction,"Treatment as usual, education/training subsample","The TAU arm restricted to the education/training subsample, defined as in ips_edu.",no,,,unclear,yes,not_applicable,yes,no,yes,not_applicable,29
bangkok_licm,cohort,cohort,none,not_applicable,,"The whole recruited cohort of 549, within which 64 attended the less intensive case management (LICM) programme and 485 did not. Assignment was by clinician judgement on symptoms and adherence, not randomisation. LICM targeted engagement and medication adherence, not employment. NO whole-cohort employment count is recorded against this arm: see unresolved_queries.md U9, because the only route to one is a sum across the two stage subgroups, which have different arm_ids and different denominators and so cannot be named as components under D12.2.",no,,,no,no,not_applicable,not_applicable,no,not_applicable,not_applicable,549
bangkok_licm,early,subgroup,none,not_applicable,,"Early-stage subgroup: participants with one or fewer previous psychotic relapses. A post-hoc split of the single recruited cohort, combining LICM and non-LICM participants.",no,,,no,no,,,,,,372
bangkok_licm,later,subgroup,none,not_applicable,,"Later-stage subgroup: participants with more than one previous psychotic relapse. A post-hoc split of the single recruited cohort, combining LICM and non-LICM participants.",no,,,no,no,,,,,,177
bangkok_licm,early_nonlicm,control_tau,none,not_applicable,Usual services without LICM,"Early-stage participants not attending LICM. Office-based hospital care, non-assertive engagement, no home visits, monthly to three-monthly contact. A few received isolated programme components (accompanied transport 5.36%, help accessing disability benefits 1.86%, medicine delivery 0.41%); none received the home-visit component.",no,,,no,no,,,,,,346
bangkok_licm,early_licm,intervention,none,not_applicable,Less intensive case management (LICM) led by community health workers,"Early-stage participants attending LICM: weekly to monthly home visits by a community health worker acting as case manager, with psychoeducation, medication adherence management, appointment arrangement, accompanied transport and facilitated access to disability benefits, supervised by two programme coordinators and a hospital team. Not an employment intervention; employment was used as a proxy for social functioning.",no,,,no,no,,,,,,26
bangkok_licm,later_nonlicm,control_tau,none,not_applicable,Usual services without LICM,Later-stage participants not attending LICM; see early_nonlicm.,no,,,no,no,,,,,,139
bangkok_licm,later_licm,intervention,none,not_applicable,Less intensive case management (LICM) led by community health workers,Later-stage participants attending LICM; see early_licm.,no,,,no,no,,,,,,38
