cohort_id,arm_id,arm_type,analysis_selection_status,analysis_selection_reason,intervention_name,intervention_description,cluster_randomised,n_clusters,icc_reported,baseline_unemployed_required,baseline_wants_work_required,all_original_arms_included,post_randomisation_selection,employment_targeted_intervention,common_construct_across_arms,selective_reweighting,n_entered
eppic_melbourne_2011,cohort,cohort,none,not_applicable,,Whole treated-incidence cohort of an early psychosis service; no allocation. Up to two years of comprehensive case management with assertive outreach.,no,,,no,no,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,1220
eppic_melbourne_2011,migrants,subgroup,none,not_applicable,,"First-generation migrants, i.e. young people born outside Australia; a post-hoc split of the one recruited cohort by country of birth.",no,,,no,no,,,,,,293
eppic_melbourne_2011,australian_born,subgroup,none,not_applicable,,"Young people born in Australia, including second-generation migrants, whom the authors state could not be identified separately; a post-hoc split of the one recruited cohort by country of birth.",no,,,no,no,,,,,,903
saopaulo_prevoc,cohort,cohort,selected,work_intention_or_readiness,,Whole recruited sample; all 53 completed the same prevocational training group before baseline. No allocation and no comparator.,no,,,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,53
saopaulo_prevoc,eg_worked,subgroup,selected,analytic_restriction,,"Employed group (EG): the 19 participants who obtained any kind of paid work for at least 30 days during follow-up. Defined BY the outcome, so it is a post-hoc outcome-defined subgroup and can support no prevalence.",no,,,no,yes,,,,,,19
brooklyn_tsw_rct,evr,control_active,selected,prior_employment_failure,Enhanced Vocational Rehabilitation (E-VR),"Usual vocational services enhanced by a half-day workshop for vocational specialists on cognitive impairment and job-relevant coping strategies, plus consultation calls every one to three months.",no,,,yes,unclear,,,,,,26
brooklyn_tsw_rct,tsw,intervention,selected,prior_employment_failure,Thinking Skills for Work (TSW) plus Enhanced Vocational Rehabilitation,"The same enhanced vocational services plus manualised cognitive remediation: about 24 hours of Cogpack computer exercises with strategy coaching and taught self-management strategies, delivered by a cognitive specialist integrated into the vocational team.",no,,,yes,unclear,,,,,,28
institute_living_rct,ivip,intervention,selected,prior_employment_failure,Indianapolis Vocational Intervention Program (IVIP),"Manualised CBT-informed group programme targeting defeatist beliefs about work, four modules of two sessions, delivered weekly in groups of two to three alongside a four-month work therapy placement that both arms received.",no,,,yes,no,,,,,,29
institute_living_rct,sg,control_active,selected,prior_employment_failure,Supportive therapy group (SG),"Time-matched active control: weekly 45-minute participant-led support and discussion about work-related issues, with no curriculum and no personalised work feedback, alongside the same four-month work therapy placement.",no,,,yes,no,,,,,,35
radar_trial,cohort,cohort,none,not_applicable,,"Whole randomised RADAR cohort with both allocation groups combined, as the report itself does: 126 allocated to supported gradual antipsychotic dose reduction and discontinuation and 127 to maintenance antipsychotic treatment. The experimental intervention is a medication regimen, not an employment intervention.",no,,,no,no,yes,no,no,yes,no,253
radar_trial,relapsed,subgroup,none,not_applicable,,Participants with at least one relapse of any severity during the 24-month trial. A POST-RANDOMISATION subgroup defined by an event occurring after allocation.,no,,,no,no,,,,,,82
radar_trial,not_relapsed,subgroup,none,not_applicable,,Participants with no relapse during the 24-month trial. A POST-RANDOMISATION subgroup defined by an event occurring after allocation.,no,,,no,no,,,,,,171
