rob_assessment_id,result_id,rob_tool,rob_tool_version,domain,signalling_responses,judgement,rationale,source_location,assessor,checker,bias_direction
maguire2021_cohort_discharge_paidoreduc__jbi1_sample_frame,maguire2021_cohort_discharge_paidoreduc,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi1_sample_frame,,yes,"The estimand is employment prevalence in a first-episode psychosis population, and the frame is the complete treated incidence of a defined catchment. EPPIC is a state-funded service covering 'a defined catchment area within northern and western Melbourne' with over a million residents and 166,760 aged 15-24, and the authors state 'there are no other public mental health services in the catchment area which provide treatment to people with a first episode of psychosis who are aged 15 to 24 at the time of presentation'. All psychotic disorders including drug-induced psychosis were included. The residual gap is people treated privately or not treated at all.","Methods, Setting, p. 1390; Methods, Participants, p. 1390",claude-opus-5 (batch F10),,
maguire2021_cohort_discharge_paidoreduc__jbi2_participant_sampling,maguire2021_cohort_discharge_paidoreduc,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi2_participant_sampling,,yes,"Total enumeration rather than sampling: 'All eligible clients registered with EPPIC between 1 January 2011 and 31 December 2016 were included', and a consent waiver was granted expressly so that no case would be lost, 'As it was essential to ensure that all cases of first episode of psychosis were included and therefore the cohort would be representative, a waiver of individual consent was granted'. No volunteer or convenience selection operates.","Methods, Participants, p. 1390; Methods, Ethical approval, p. 1391",claude-opus-5 (batch F10),,
maguire2021_cohort_discharge_paidoreduc__jbi3_sample_size,maguire2021_cohort_discharge_paidoreduc,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi3_sample_size,,yes,"1220 presented over six years and 1196 have complete data, with 293 migrants and 903 Australian-born. That is ample for a prevalence estimate; the imprecision of the employment estimate is negligible relative to the construct and timing problems.","Results, Baseline characteristics, p. 1391",claude-opus-5 (batch F10),,
maguire2021_cohort_discharge_paidoreduc__jbi4_subjects_setting_described,maguire2021_cohort_discharge_paidoreduc,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi4_subjects_setting_described,,yes,"Table 1 gives age, sex, marital status, living arrangements, housing, baseline employment, family history, DSM-IV diagnostic group and comorbid substance use for the whole cohort and both subgroups, and Table 2 gives country of birth at three levels of the Standard Australian Classification of Countries. The service model, catchment and duration of care are described in detail.","Table 1, p. 1392; Table 2, p. 1393; Methods, Setting, p. 1390",claude-opus-5 (batch F10),,
maguire2021_cohort_discharge_paidoreduc__jbi5_coverage_of_sample,maguire2021_cohort_discharge_paidoreduc,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi5_coverage_of_sample,,unclear,"24 of 1220 (2.0 per cent) were dropped for missing place of birth, which is trivial. The employment row of Table 3 carries no reduced n and its percentages are computed on the full 293 and 903, and the methods state occupation 'was obtained from the discharge summary or progress notes for each young person'. But the four HoNOS rows of the SAME table print explicitly reduced denominators of 830, 839, 831 and 746, which shows that chart-based ascertainment was NOT complete for every measure and that the authors report reduced denominators when they have them. Whether the employment row is genuinely complete or simply not counted is not established, so n_outcome_observed = 1196 carries residual uncertainty.","Table 3, p. 1394; Methods, Study design & sources of information, p. 1391; Results, p. 1391",claude-opus-5 (batch F10),,
maguire2021_cohort_discharge_paidoreduc__jbi6_condition_identification,maguire2021_cohort_discharge_paidoreduc,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi6_condition_identification,,no,"Read as ascertainment of the EMPLOYMENT outcome, consistent with every JBI assessment in this shard. The counted condition is a composite: 'being an engaged student or having regular employment made one eligible for the ""working or studying"" group'. Paid work is not separable from study, 'regular employment' is never defined (no hours, no pay, no contract type), and the measure therefore does not identify paid employment at all. It is a valid EET-family measure and an invalid paid-work measure.","Methods, Study design & sources of information, p. 1391",claude-opus-5 (batch F10),,
maguire2021_cohort_discharge_paidoreduc__jbi7_condition_measurement,maguire2021_cohort_discharge_paidoreduc,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi7_condition_measurement,,no,"Measurement is retrospective abstraction from discharge summaries and progress notes written for clinical rather than research purposes, by the study authors, with no standardised instrument, no stated coding rules beyond the one sentence defining the group, and no inter-rater reliability. The authors concede the analogous problem for symptoms, that measurement 'was reliant on the quality of the clinical notes and the interpretation of these notes by the authors'.","Methods, Study design & sources of information, p. 1391; Discussion, Strengths and limitations, p. 1396",claude-opus-5 (batch F10),,
maguire2021_cohort_discharge_paidoreduc__jbi8_statistical_analysis,maguire2021_cohort_discharge_paidoreduc,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi8_statistical_analysis,,unclear,"The comparative analyses (chi-square, Cox regression with age and sex adjustment, proportional-hazards checking) are appropriate for the paper's own aims. For the prevalence estimand the analysis is a bare proportion with no confidence interval, and the two printed values for the migrant rate, 46.8 per cent in Table 3 against 47.3 per cent in the text, are not reconciled anywhere.","Methods, Statistical analysis, p. 1391; Table 3, p. 1394; Results, Functioning, p. 1395",claude-opus-5 (batch F10),,
maguire2021_cohort_discharge_paidoreduc__jbi9_response_rate,maguire2021_cohort_discharge_paidoreduc,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi9_response_rate,,unclear,"No response rate is definable for a chart-based total enumeration with a consent waiver, and non-participation bias is correspondingly low. But the outcome is measured at DISCHARGE, and the report does not say how many young people had no discharge summary, disengaged permanently or were still open to the service at data extraction; a companion study is cited showing 56 per cent disengaged at some point. The number with no recorded occupation at discharge is not reported.","Methods, Setting, p. 1390; Table 3, p. 1394",claude-opus-5 (batch F10),,
martini2017_cohort_t18m_paidthreshold30d__jbi1_sample_frame,martini2017_cohort_t18m_paidthreshold30d,jbi_prevalence,"JBI critical appraisal checklist for studies reporting prevalence data (Munn et al.), 9 items",jbi1_sample_frame,,no,"The frame is not the target population. Recruitment was restricted to outpatients of two Sao Paulo university services 'who expressed a desire for employment', aged 18-45, with 'stable psychiatric symptoms for at least 2 months' and 'good treatment adherence in the psychiatrist's opinion'. The authors say so themselves: 'this is a convenience sample of individuals with high education levels and favorable symptomatology who were undergoing treatment at university outpatient clinics, which sets the analysis within a particular context'. The selection is directly on a determinant of employment.","Materials and methods, Participants, p. 36; Discussion, p. 39",claude-opus-5 (batch F10),,
