result_id,field,extracted_value,source_locator,extractor,extraction_date,batch_id,verifier,verified_date,verified_value,agreement,adjudication,notes
maguire2021_migrants_discharge_paidoreduc,outcome_construct,paid_or_education,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_migrants_discharge_paidoreduc,ascertainment,point_prevalence,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_migrants_discharge_paidoreduc,followup_months,,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_migrants_discharge_paidoreduc,followup_basis,calendar_end_common,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_migrants_discharge_paidoreduc,n_employed,137,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_migrants_discharge_paidoreduc,n_outcome_observed,293,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_migrants_discharge_paidoreduc,result_role,component_only,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_migrants_discharge_paidoreduc,conflict_status,unresolved,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_migrants_discharge_paidoreduc,employment_selection_status,none,"Methods, Participants, p. 1390; Methods, Setting, p. 1390; Methods, Ethical approval, p. 1391",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_ausborn_discharge_paidoreduc,outcome_construct,paid_or_education,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_ausborn_discharge_paidoreduc,ascertainment,point_prevalence,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_ausborn_discharge_paidoreduc,followup_months,,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_ausborn_discharge_paidoreduc,followup_basis,calendar_end_common,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_ausborn_discharge_paidoreduc,n_employed,457,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_ausborn_discharge_paidoreduc,n_outcome_observed,903,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_ausborn_discharge_paidoreduc,result_role,component_only,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
maguire2021_ausborn_discharge_paidoreduc,conflict_status,none,"Table 3 'Outcomes for migrants and Australian-born individuals', p. 1394; construct definition Methods, Study design & sources of information, p. 1391; Results, Functioning, p. 1395",claude-opus-5,2026-08-12,F10,,,,,,
