rob_assessment_id,result_id,rob_tool,rob_tool_version,domain,signalling_responses,judgement,rationale,source_location,assessor,checker,bias_direction
killackey2019_ips_t6m_paidcomp_rob2_1_randomisation,killackey2019_ips_t6m_paidcomp,rob2,"Cochrane RoB 2 for individually randomised parallel-group trials, 22 August 2019 version",rob2_1_randomisation,Was the allocation sequence random? Was it concealed until participants were enrolled and assigned? Do baseline differences suggest a problem with the randomisation process?,some_concerns,"Estimand: the effect of ASSIGNMENT to individual placement and support versus treatment as usual on being employed (at least one day of work at the legislated minimum wage) over the first 6 months. The same assessment attaches to both arm rows because RoB 2 appraises the randomised comparison they form. The sequence was computer-generated in random permuted blocks of four and eight at a 1:1 ratio by the study statistician, who was not associated with assessments or treatment and was the only person aware of the sequence, so generation and concealment are adequately described. Baseline differences are the concern: the groups differ significantly on sex (42.5% v. 19.2% female, chi-square 9.28, P = 0.002), depressive symptoms (P = 0.019), psychological and physical quality of life (P = 0.025 and 0.021) and time already spent in the EPPIC service (302 v. 216 days, P = 0.008), and baseline paid work, the outcome variable itself, differs at 21.9% v. 11.0% (P = 0.074). Chance imbalance is possible with n = 146, but the number and pattern of imbalances, all favouring neither arm consistently, warrant some concerns rather than low risk.","killackey2019, Method, Trial design, p. 76; Results, Baseline characteristics, p. 78; Table 1, p. 78; Table 2, p. 79",claude-opus-5,,
killackey2019_ips_t6m_paidcomp_rob2_2_deviations,killackey2019_ips_t6m_paidcomp,rob2,"Cochrane RoB 2 for individually randomised parallel-group trials, 22 August 2019 version",rob2_2_deviations,Were participants and carers aware of assignment? Were there deviations arising from the trial context? Was an appropriate analysis used to estimate the effect of assignment?,some_concerns,"Participants, the vocational specialist, the study lead and the participants' case managers all knew the allocation; only the research assistants were masked. Only four participants did not complete the intervention. The more substantial concern is contamination of the control condition by the trial itself: the authors' own leading explanation for an unusually high control-arm employment rate (48% against 9.5% in their earlier trial at the same clinic) is a change in clinical culture, with workshops that upskilled EPPIC clinicians in helping clients obtain work and one clinical post converted to an IPS post. That is a deviation arising from the trial context that would attenuate the estimated effect of assignment. The analysis was modified intention-to-treat, including only participants with at least one post-randomisation assessment, so 15 randomised participants are outside it.","killackey2019, Method, Trial design and Interventions, pp. 76-77; Data analysis, p. 77; Discussion, 'Possible reasons for our findings concerning the control group', p. 80",claude-opus-5,,towards the null: contamination of treatment as usual would understate the effect of assignment to IPS
killackey2019_ips_t6m_paidcomp_rob2_3_missing_outcome_data,killackey2019_ips_t6m_paidcomp,rob2,"Cochrane RoB 2 for individually randomised parallel-group trials, 22 August 2019 version",rob2_3_missing_outcome_data,"Were data available for all, or nearly all, participants? Is there evidence that the result was not biased by missing outcome data? Could missingness depend on the true value?",high,"Outcome data at 6 months are missing for 7 of 73 in the IPS arm (9.6%) and 13 of 73 in the TAU arm (17.8%), so the reported counts rest on 66 and 60 participants. Fifteen participants had no post-randomisation data at all and the imbalance is significant (TAU 16.4%, n = 12; IPS 4.1%, n = 3; chi-square 6.02, P = 0.014). Decisively, TWO of those participants 'withdrew participation as a result of having employment': missingness that depends directly on the true value of the outcome, in the direction of removing employed participants. No imputation was used for the reported rates, which are complete-case at 6 months. The authors' mitigation (no significant differences between those with and without data on baseline demographic, vocational and clinical variables) does not address outcome-dependent withdrawal.","killackey2019, Results, Participant flow, p. 78; Primary outcome, pp. 78-79",claude-opus-5,,downward in whichever arm the two employment-related withdrawals fell; the report does not state their allocation
killackey2019_ips_t6m_paidcomp_rob2_4_outcome_measurement,killackey2019_ips_t6m_paidcomp,rob2,"Cochrane RoB 2 for individually randomised parallel-group trials, 22 August 2019 version",rob2_4_outcome_measurement,"Was the method of measuring the outcome appropriate? Could measurement have differed between groups? Were outcome assessors aware of the intervention received, and could that have influenced the measurement?",some_concerns,"Employment was ascertained at interview by research assistants who were masked to allocation, who had no contact with the employment consultant, and participants were reminded at each assessment not to reveal whether they had been working with the employment consultant, so assessor blinding was actively maintained. However the outcome is participant self-report over a 6-month recall window with no register, payslip or employer verification, and the participants themselves were unmasked, so reporting of a single day of paid work could plausibly differ by arm. The threshold itself is objective and applied identically to both arms.","killackey2019, Method, Trial design, p. 76 and Outcomes, p. 77",claude-opus-5,,
killackey2019_ips_t6m_paidcomp_rob2_5_selective_reporting,killackey2019_ips_t6m_paidcomp,rob2,"Cochrane RoB 2 for individually randomised parallel-group trials, 22 August 2019 version",rob2_5_selective_reporting,Were the data analysed in accordance with a pre-specified plan finalised before unblinded outcome data were available? Is the numerical result likely to have been selected from multiple analyses or subgroups?,some_concerns,"The trial was prospectively registered (ACTRN12608000094370) and its methods were published in advance (Killackey et al., Early Interv Psychiatry 2013), and the prespecified primary outcome, employment over 0-6 months, is reported with counts for both arms. The registered protocol was not available to this assessment. Reporting of the outcome measurement is nevertheless asymmetric: of the three prespecified 6-month intervals only the first, the statistically significant one, is given as counts; 6-12 and 12-18 months appear only as p-values and a figure of model-predicted probabilities, and hours worked and studying only as figures and model terms. Both unadjusted and adjusted models are reported for the primary comparison, which mitigates selective analysis reporting.","killackey2019, Method, Data analysis, p. 77; Results, Primary outcome and Secondary outcomes, pp. 78-80; Fig. 1, p. 79",claude-opus-5,,unclear; the unreported counts at 12 and 18 months are the results this review most needs
killackey2019_ips_t6m_paidcomp_rob2_overall,killackey2019_ips_t6m_paidcomp,rob2,"Cochrane RoB 2 for individually randomised parallel-group trials, 22 August 2019 version",rob2_overall,Overall risk of bias for the effect of assignment to intervention,high,"High risk, driven entirely by domain 3. Missing outcome data are differential by arm and at least two participants are known to have withdrawn BECAUSE they obtained employment, which is missingness dependent on the true value of the outcome. Domains 1, 2, 4 and 5 each raise some concerns; none alone would exceed that. Note that this appraisal concerns the treatment-effect estimand only. The arm-level counts are not a whole-cohort prevalence and receive no JBI appraisal, because an allocated arm cannot enter the prevalence estimand under SAP section 2.1.","killackey2019, as cited in domains 1 to 5",claude-opus-5,,
killackey2019_tau_t6m_paidcomp_rob2_1_randomisation,killackey2019_tau_t6m_paidcomp,rob2,"Cochrane RoB 2 for individually randomised parallel-group trials, 22 August 2019 version",rob2_1_randomisation,Was the allocation sequence random? Was it concealed until participants were enrolled and assigned? Do baseline differences suggest a problem with the randomisation process?,some_concerns,"Estimand: the effect of ASSIGNMENT to individual placement and support versus treatment as usual on being employed (at least one day of work at the legislated minimum wage) over the first 6 months. The same assessment attaches to both arm rows because RoB 2 appraises the randomised comparison they form. The sequence was computer-generated in random permuted blocks of four and eight at a 1:1 ratio by the study statistician, who was not associated with assessments or treatment and was the only person aware of the sequence, so generation and concealment are adequately described. Baseline differences are the concern: the groups differ significantly on sex (42.5% v. 19.2% female, chi-square 9.28, P = 0.002), depressive symptoms (P = 0.019), psychological and physical quality of life (P = 0.025 and 0.021) and time already spent in the EPPIC service (302 v. 216 days, P = 0.008), and baseline paid work, the outcome variable itself, differs at 21.9% v. 11.0% (P = 0.074). Chance imbalance is possible with n = 146, but the number and pattern of imbalances, all favouring neither arm consistently, warrant some concerns rather than low risk.","killackey2019, Method, Trial design, p. 76; Results, Baseline characteristics, p. 78; Table 1, p. 78; Table 2, p. 79",claude-opus-5,,
killackey2019_tau_t6m_paidcomp_rob2_2_deviations,killackey2019_tau_t6m_paidcomp,rob2,"Cochrane RoB 2 for individually randomised parallel-group trials, 22 August 2019 version",rob2_2_deviations,Were participants and carers aware of assignment? Were there deviations arising from the trial context? Was an appropriate analysis used to estimate the effect of assignment?,some_concerns,"Participants, the vocational specialist, the study lead and the participants' case managers all knew the allocation; only the research assistants were masked. Only four participants did not complete the intervention. The more substantial concern is contamination of the control condition by the trial itself: the authors' own leading explanation for an unusually high control-arm employment rate (48% against 9.5% in their earlier trial at the same clinic) is a change in clinical culture, with workshops that upskilled EPPIC clinicians in helping clients obtain work and one clinical post converted to an IPS post. That is a deviation arising from the trial context that would attenuate the estimated effect of assignment. The analysis was modified intention-to-treat, including only participants with at least one post-randomisation assessment, so 15 randomised participants are outside it.","killackey2019, Method, Trial design and Interventions, pp. 76-77; Data analysis, p. 77; Discussion, 'Possible reasons for our findings concerning the control group', p. 80",claude-opus-5,,towards the null: contamination of treatment as usual would understate the effect of assignment to IPS
killackey2019_tau_t6m_paidcomp_rob2_3_missing_outcome_data,killackey2019_tau_t6m_paidcomp,rob2,"Cochrane RoB 2 for individually randomised parallel-group trials, 22 August 2019 version",rob2_3_missing_outcome_data,"Were data available for all, or nearly all, participants? Is there evidence that the result was not biased by missing outcome data? Could missingness depend on the true value?",high,"Outcome data at 6 months are missing for 7 of 73 in the IPS arm (9.6%) and 13 of 73 in the TAU arm (17.8%), so the reported counts rest on 66 and 60 participants. Fifteen participants had no post-randomisation data at all and the imbalance is significant (TAU 16.4%, n = 12; IPS 4.1%, n = 3; chi-square 6.02, P = 0.014). Decisively, TWO of those participants 'withdrew participation as a result of having employment': missingness that depends directly on the true value of the outcome, in the direction of removing employed participants. No imputation was used for the reported rates, which are complete-case at 6 months. The authors' mitigation (no significant differences between those with and without data on baseline demographic, vocational and clinical variables) does not address outcome-dependent withdrawal.","killackey2019, Results, Participant flow, p. 78; Primary outcome, pp. 78-79",claude-opus-5,,downward in whichever arm the two employment-related withdrawals fell; the report does not state their allocation
killackey2019_tau_t6m_paidcomp_rob2_4_outcome_measurement,killackey2019_tau_t6m_paidcomp,rob2,"Cochrane RoB 2 for individually randomised parallel-group trials, 22 August 2019 version",rob2_4_outcome_measurement,"Was the method of measuring the outcome appropriate? Could measurement have differed between groups? Were outcome assessors aware of the intervention received, and could that have influenced the measurement?",some_concerns,"Employment was ascertained at interview by research assistants who were masked to allocation, who had no contact with the employment consultant, and participants were reminded at each assessment not to reveal whether they had been working with the employment consultant, so assessor blinding was actively maintained. However the outcome is participant self-report over a 6-month recall window with no register, payslip or employer verification, and the participants themselves were unmasked, so reporting of a single day of paid work could plausibly differ by arm. The threshold itself is objective and applied identically to both arms.","killackey2019, Method, Trial design, p. 76 and Outcomes, p. 77",claude-opus-5,,
