report_id,field,old,new,reason
ayesaarriola2020,eligibility_status,linked_report,include,"linked_report means the result used comes from another report of the same cohort. No other PAFIP report covers this report's 8-to-16-year horizon, so nothing supersedes it; it is eligible evidence the review cannot quantify. Under D10.2 that is include with report_quantifiable = no, so the loss appears at the numerator/denominator gate instead of disappearing from the eligible count."
ayesaarriola2020,report_quantifiable,,no,"Table 1 prints 'Unemployed (yes)' counts at the 10-year reassessment (35 male, 22 female) but not their denominators; the denominators are recoverable only as 35/0.327 and 22/0.244, a back-calculation from a printed percentage, which is forbidden. Read from the paper, not assumed."
basaraba2023,eligibility_status,linked_report,include,This report is the only source of an employment-or-education-or-training count for ontracky_ny at a landmark horizon; nossel2018's only count is paid employment at 6 months. The result used therefore does not come from another report of the cohort.
basaraba2023,report_quantifiable,,yes,"The Table prints positive/total counts at all eight quarterly timepoints, e.g. 397/555 at 12 months."
basaraba2023,notes,composite education/employment; training set only; same network as nossel2018,"composite education/employment/vocational-training, training set only (1038 of 1298); SAME COHORT as nossel2018, not merely the same network: this report's frame (20 sites, Oct 2013 to Dec 2018) contains nossel2018's 325 clients (10 sites, Oct 2013 to Aug 2016)","'Same network' understates the relation and could be read as two independent samples. The enrolment windows and site lists nest, so the participants overlap directly."
nossel2018,report_quantifiable,,yes,"124 of 260 employed at 6 months, both numbers printed in the Results text, p. 866."
mayoralvanson2019,report_quantifiable,,yes,"36 employed at 12 months, printed in Table 3, p. 1186, and repeated in the Results text."
mayoralvanson2019,notes,36/157 at 12m; students classified inactive so genuinely paid-only; same cohort as ayesaarriola2020,"36 employed at 12 months; students classified inactive so genuinely paid-only; same cohort as ayesaarriola2020. DENOMINATOR CORRECTED: 157 is the reporting base, not the observed denominator. Table 3's four mutually exclusive 1-year categories (36 + 71 + 28 + 21) sum to 156, and one patient died during the year, so 156 had a status recorded; the printed 1-year percentages nevertheless divide by 157 while the baseline percentages in the same table divide by 156.","The triage note would put a wrong denominator into the pool. Recorded as n_outcome_observed = 156 with reported_percentage_base = 157, and the discrepancy is logged in inconsistencies.md."
benson2022,eligibility_status,pending,include,"Adjudicated on reading the full text and all five appended figure and table images: veterans with schizophrenia, a longitudinal administrative cohort, and Table 3 prints an employment-status distribution with counts. Meets the criteria and yields a count."
benson2022,cohort_id,,us_vha,"Confirmed from the paper. Figure 1 reproduces lin2022's selection cascade number for number (132,153; 127,366; 125,595; 119,601; 119,343), same database, same study period, same Veterans Affairs Central IRB approval 1478231-1, and the Discussion calls lin2022 'An early phase of this study'."
benson2022,cohort_overlap_notes,"LIKELY us_vha (verify on receipt): same Lin D author group and same Veterans Health Administration database as lin2022, restricted to patients with relapse; treat as a probable overlapping sample","CONFIRMED us_vha: identical selection cascade to lin2022 (132,153 / 127,366 / 125,595 / 119,601 / 119,343), identical database, study period and IRB approval, and lin2022 is named as an earlier phase of the same study. Analysed subsets differ: lin2022 matches 102,207 to non-schizophrenia veterans, benson2022 matches 16,862 relapse to 16,862 nonrelapse veterans from the same 119,343.",The hint asserted nothing; it is now confirmed from the two Figure 1 flow charts rather than from authorship.
benson2022,report_quantifiable,,yes,"Table 3 prints a six-category employment-status distribution with counts that sum exactly to the cohort n, so paid_any and its observed denominator are both recoverable without back-calculation."
lin2022,report_quantifiable,,no,"Only unemployment is reported, as percentages in Figure 2 with no counts and no stated denominator, and employment is not the complement of unemployment in this data source: the same administrative field in benson2022 has separate retired (15.8 per cent) and missing (3.3 per cent) categories. Confirms the triage note."
