result_id,field,extracted_value,source_locator,extractor,extraction_date,batch_id,verifier,verified_date,verified_value,agreement,adjudication,notes
mayoralvanson2019_cohort_t12m_paidany,outcome_construct,paid_any,"Table 3 'Employment status', 1Y follow-up column, p. 1186; corroborated in Results 3.4, p. 1185-1186; baseline employed 49 also quoted in Methods 2.5, p. 1183",claude-opus-5,2026-08-12,F03,,,,,,
mayoralvanson2019_cohort_t12m_paidany,ascertainment,point_prevalence,"Table 3 'Employment status', 1Y follow-up column, p. 1186; corroborated in Results 3.4, p. 1185-1186; baseline employed 49 also quoted in Methods 2.5, p. 1183",claude-opus-5,2026-08-12,F03,,,,,,
mayoralvanson2019_cohort_t12m_paidany,followup_months,12,"Table 3 'Employment status', 1Y follow-up column, p. 1186; corroborated in Results 3.4, p. 1185-1186; baseline employed 49 also quoted in Methods 2.5, p. 1183",claude-opus-5,2026-08-12,F03,,,,,,
mayoralvanson2019_cohort_t12m_paidany,followup_basis,since_baseline,"Table 3 'Employment status', 1Y follow-up column, p. 1186; corroborated in Results 3.4, p. 1185-1186; baseline employed 49 also quoted in Methods 2.5, p. 1183",claude-opus-5,2026-08-12,F03,,,,,,
mayoralvanson2019_cohort_t12m_paidany,n_employed,36,"Table 3 'Employment status', 1Y follow-up column, p. 1186; corroborated in Results 3.4, p. 1185-1186; baseline employed 49 also quoted in Methods 2.5, p. 1183",claude-opus-5,2026-08-12,F03,,,,,,
mayoralvanson2019_cohort_t12m_paidany,n_outcome_observed,156,"Table 3 'Employment status', 1Y follow-up column, p. 1186; corroborated in Results 3.4, p. 1185-1186; baseline employed 49 also quoted in Methods 2.5, p. 1183",claude-opus-5,2026-08-12,F03,,,,,,
mayoralvanson2019_cohort_t12m_paidany,employment_selection_status,none,"ayesaarriola2020, Methods, Subjects, p. 6 (cohort); mayoralvanson2019, Methods 2.2, p. 1183 (analysis sample)",claude-opus-5,2026-08-12,F03,,,,,,"Cohort-level D9 gate, taken from extraction_cohorts.csv."
mayoralvanson2019_cohort_t12m_paidany,analysis_selection_status,unclear,"ayesaarriola2020, Methods, Subjects, p. 6 (cohort); mayoralvanson2019, Methods 2.2, p. 1183 (analysis sample)",claude-opus-5,2026-08-12,F03,,,,,,"Analysis-unit D9 gate, taken from extraction_arms.csv."
nossel2018_cohort_t6m_paidany,outcome_construct,paid_any,"Results, p. 866, second paragraph; construct definition Methods, Measures, p. 864",claude-opus-5,2026-08-12,F03,,,,,,
nossel2018_cohort_t6m_paidany,ascertainment,point_prevalence,"Results, p. 866, second paragraph; construct definition Methods, Measures, p. 864",claude-opus-5,2026-08-12,F03,,,,,,
nossel2018_cohort_t6m_paidany,followup_months,6,"Results, p. 866, second paragraph; construct definition Methods, Measures, p. 864",claude-opus-5,2026-08-12,F03,,,,,,
nossel2018_cohort_t6m_paidany,followup_basis,since_baseline,"Results, p. 866, second paragraph; construct definition Methods, Measures, p. 864",claude-opus-5,2026-08-12,F03,,,,,,
nossel2018_cohort_t6m_paidany,n_employed,124,"Results, p. 866, second paragraph; construct definition Methods, Measures, p. 864",claude-opus-5,2026-08-12,F03,,,,,,
nossel2018_cohort_t6m_paidany,n_outcome_observed,260,"Results, p. 866, second paragraph; construct definition Methods, Measures, p. 864",claude-opus-5,2026-08-12,F03,,,,,,
nossel2018_cohort_t6m_paidany,employment_selection_status,none,"nossel2018, Methods, Participants and Study Design, p. 864; basaraba2023, p. 49 and p. 51",claude-opus-5,2026-08-12,F03,,,,,,"Cohort-level D9 gate, taken from extraction_cohorts.csv."
nossel2018_cohort_t6m_paidany,analysis_selection_status,none,"nossel2018, Methods, Participants and Study Design, p. 864; basaraba2023, p. 49 and p. 51",claude-opus-5,2026-08-12,F03,,,,,,"Analysis-unit D9 gate, taken from extraction_arms.csv."
nossel2018_cohort_t6m_paidcomp,outcome_construct,paid_competitive,"Results, p. 866, second paragraph; construct definition Methods, Measures, p. 864",claude-opus-5,2026-08-12,F03,,,,,,
nossel2018_cohort_t6m_paidcomp,ascertainment,point_prevalence,"Results, p. 866, second paragraph; construct definition Methods, Measures, p. 864",claude-opus-5,2026-08-12,F03,,,,,,
nossel2018_cohort_t6m_paidcomp,followup_months,6,"Results, p. 866, second paragraph; construct definition Methods, Measures, p. 864",claude-opus-5,2026-08-12,F03,,,,,,
nossel2018_cohort_t6m_paidcomp,followup_basis,since_baseline,"Results, p. 866, second paragraph; construct definition Methods, Measures, p. 864",claude-opus-5,2026-08-12,F03,,,,,,
nossel2018_cohort_t6m_paidcomp,n_employed,81,"Results, p. 866, second paragraph; construct definition Methods, Measures, p. 864",claude-opus-5,2026-08-12,F03,,,,,,
nossel2018_cohort_t6m_paidcomp,n_outcome_observed,260,"Results, p. 866, second paragraph; construct definition Methods, Measures, p. 864",claude-opus-5,2026-08-12,F03,,,,,,
nossel2018_cohort_t6m_paidcomp,employment_selection_status,none,"nossel2018, Methods, Participants and Study Design, p. 864; basaraba2023, p. 49 and p. 51",claude-opus-5,2026-08-12,F03,,,,,,"Cohort-level D9 gate, taken from extraction_cohorts.csv."
nossel2018_cohort_t6m_paidcomp,analysis_selection_status,none,"nossel2018, Methods, Participants and Study Design, p. 864; basaraba2023, p. 49 and p. 51",claude-opus-5,2026-08-12,F03,,,,,,"Analysis-unit D9 gate, taken from extraction_arms.csv."
basaraba2023_training_t3m_eet,outcome_construct,paid_or_education_or_training,"Table 'Education/Work Status and Hospitalization Status in the Training Data Set at Time Points in the First 2 Years', row '3 mo', Education/work column, p. 52",claude-opus-5,2026-08-12,F03,,,,,,
basaraba2023_training_t3m_eet,ascertainment,point_prevalence,"Table 'Education/Work Status and Hospitalization Status in the Training Data Set at Time Points in the First 2 Years', row '3 mo', Education/work column, p. 52",claude-opus-5,2026-08-12,F03,,,,,,
basaraba2023_training_t3m_eet,followup_months,3,"Table 'Education/Work Status and Hospitalization Status in the Training Data Set at Time Points in the First 2 Years', row '3 mo', Education/work column, p. 52",claude-opus-5,2026-08-12,F03,,,,,,
basaraba2023_training_t3m_eet,followup_basis,since_baseline,"Table 'Education/Work Status and Hospitalization Status in the Training Data Set at Time Points in the First 2 Years', row '3 mo', Education/work column, p. 52",claude-opus-5,2026-08-12,F03,,,,,,
basaraba2023_training_t3m_eet,n_employed,530,"Table 'Education/Work Status and Hospitalization Status in the Training Data Set at Time Points in the First 2 Years', row '3 mo', Education/work column, p. 52",claude-opus-5,2026-08-12,F03,,,,,,
basaraba2023_training_t3m_eet,n_outcome_observed,874,"Table 'Education/Work Status and Hospitalization Status in the Training Data Set at Time Points in the First 2 Years', row '3 mo', Education/work column, p. 52",claude-opus-5,2026-08-12,F03,,,,,,
basaraba2023_training_t3m_eet,employment_selection_status,none,"nossel2018, Methods, Participants and Study Design, p. 864; basaraba2023, p. 49 and p. 51",claude-opus-5,2026-08-12,F03,,,,,,"Cohort-level D9 gate, taken from extraction_cohorts.csv."
basaraba2023_training_t3m_eet,analysis_selection_status,none,"nossel2018, Methods, Participants and Study Design, p. 864; basaraba2023, p. 49 and p. 51",claude-opus-5,2026-08-12,F03,,,,,,"Analysis-unit D9 gate, taken from extraction_arms.csv."
basaraba2023_training_t6m_eet,outcome_construct,paid_or_education_or_training,"Table 'Education/Work Status and Hospitalization Status in the Training Data Set at Time Points in the First 2 Years', row '6 mo', Education/work column, p. 52",claude-opus-5,2026-08-12,F03,,,,,,
basaraba2023_training_t6m_eet,ascertainment,point_prevalence,"Table 'Education/Work Status and Hospitalization Status in the Training Data Set at Time Points in the First 2 Years', row '6 mo', Education/work column, p. 52",claude-opus-5,2026-08-12,F03,,,,,,
basaraba2023_training_t6m_eet,followup_months,6,"Table 'Education/Work Status and Hospitalization Status in the Training Data Set at Time Points in the First 2 Years', row '6 mo', Education/work column, p. 52",claude-opus-5,2026-08-12,F03,,,,,,
